id;date;author;post;gold_label;gold_score
58;2000-01-01;Master;Jag saknar solen under de mörka vintermånaderna.;NEGATIVE;-1
59;2000-01-01;Master;Jag brände maten när jag blev distraherad.;NEGATIVE;-1
60;2000-01-01;Master;Jag råkade tappa min telefon och skärmen sprack.;NEGATIVE;-1
61;2000-01-01;Master;Solnedgången över havet var helt andlös.;POSITIVE;1
62;2000-01-01;Master;Jag känner mig så lycklig när jag tillbringar tid med min familj.;POSITIVE;1
63;2000-01-01;Master;Den där kakan var verkligen utsökt, jag måste be om receptet.;POSITIVE;1
64;2000-01-01;Master;Efter mycket hårt arbete fick jag äntligen befordran jag drömt om.;POSITIVE;1
65;2000-01-01;Master;Att höra ditt skratt gör alltid min dag bättre.;POSITIVE;1
66;2000-01-01;Master;Jag fick ett mycket uppskattande e-postmeddelande från min chef idag.;POSITIVE;1
67;2000-01-01;Master;Vi hade en fantastisk semester och skapade minnen för livet.;POSITIVE;1
68;2000-01-01;Master;Att lyckas med mitt projekt gav mig en enorm tillfredsställelse.;POSITIVE;1
69;2000-01-01;Master;Jag älskar att se blommorna jag planterade växa och blomstra.;POSITIVE;1
70;2000-01-01;Master;Ett spontant cafébesök med en vän gjorde hela min vecka.;POSITIVE;1
71;2000-01-01;Master;Jag är så tacksam för allt stöd jag får från mina vänner.;POSITIVE;1
72;2000-01-01;Master;Att jogga i parken på morgonen ger mig så mycket energi.;POSITIVE;1
73;2000-01-01;Master;Den nya boken jag började läsa är helt fängslande.;POSITIVE;1
74;2000-01-01;Master;Jag kände mig så stolt när jag klarade den svåra tentan.;POSITIVE;1
75;2000-01-01;Master;Att hitta en gammal vän på sociala medier värmde mitt hjärta.;POSITIVE;1
76;2000-01-01;Master;Jag skrattade så mycket åt filmen vi såg igår kväll.;POSITIVE;1
77;2000-01-01;Master;Att få ett handskrivet brev på posten var en sådan glädje.;POSITIVE;1
78;2000-01-01;Master;Jag känner mig så fridfull när jag lyssnar på vågornas brus.;POSITIVE;1
79;2000-01-01;Master;Min favoritartist släpper ett nytt album snart, och jag kan inte vänta.;POSITIVE;1
80;2000-01-01;Master;Att se barnen leka och skratta i parken är så hjärtvärmande.;POSITIVE;1
81;2000-01-01;Master;Det är molnigt ute idag.;NEUTRAL;0
82;2000-01-01;Master;Jag ska gå och handla mat senare.;NEUTRAL;0
83;2000-01-01;Master;Boken jag läser handlar om historia.;NEUTRAL;0
84;2000-01-01;Master;Det är tisdag idag.;NEUTRAL;0
85;2000-01-01;Master;Jag måste tanka bilen snart.;NEUTRAL;0
86;2000-01-01;Master;Klockan är halv nio på morgonen.;NEUTRAL;0
87;2000-01-01;Master;Jag funderar på vilken film jag ska se ikväll.;NEUTRAL;0
88;2000-01-01;Master;Det är dags för mig att byta till vinterjacka.;NEUTRAL;0
89;2000-01-01;Master;Jag behöver köpa nya batterier till fjärrkontrollen.;NEUTRAL;0
90;2000-01-01;Master;Jag planerar att besöka biblioteket imorgon.;NEUTRAL;0
91;2000-01-01;Master;Min mobiltelefon har en uppdatering som behöver installeras.;NEUTRAL;0
92;2000-01-01;Master;Jag ska lämna tillbaka böckerna till biblioteket på vägen hem.;NEUTRAL;0
93;2000-01-01;Master;Det är vanligt att det regnar mycket i april.;NEUTRAL;0
94;2000-01-01;Master;Jag har tänkt börja lära mig ett nytt språk.;NEUTRAL;0
95;2000-01-01;Master;Jag brukar ta en promenad på lunchen.;NEUTRAL;0
96;2000-01-01;Master;Jag ska kolla vädret inför helgen.;NEUTRAL;0
97;2000-01-01;Master;Jag funderar på att börja med yoga.;NEUTRAL;0
98;2000-01-01;Master;Det är en ny kafé som öppnat i grannskapet.;NEUTRAL;0
99;2000-01-01;Master;Jag ska ordna med försäkringen för bilen.;NEUTRAL;0
100;2000-01-01;Master;Jag tänker på att byta jobb nästa år.;NEUTRAL;0
101;2000-01-01;Master;Jag missade bussen och måste vänta på nästa.;NEGATIVE;-1
102;2000-01-01;Master;Det regnar igen, och jag glömde mitt paraply.;NEGATIVE;-1
103;2000-01-01;Master;Jag känner mig stressad över allt arbete jag har att göra.;NEGATIVE;-1
104;2000-01-01;Master;Jag råkade tappa min telefon, och nu är skärmen sprucken.;NEGATIVE;-1
105;2000-01-01;Master;Jag är besviken på hur filmen slutade.;NEGATIVE;-1
106;2000-01-01;Master;Jag vaknade med huvudvärk denna morgon.;NEGATIVE;-1
107;2000-01-01;Master;Det var en lång kö vid kassan i affären idag.;NEGATIVE;-1
108;2000-01-01;Master;Jag känner mig ensam ibland.;NEGATIVE;-1
109;2000-01-01;Master;Maten jag beställde var inte alls som jag förväntade mig.;NEGATIVE;-1
110;2000-01-01;Master;Jag glömde min plånbok hemma när jag gick ut.;NEGATIVE;-1
111;2000-01-01;Master;Jag försov mig och kom försent till mitt möte.;NEGATIVE;-1
112;2000-01-01;Master;Det är så frustrerande när internet inte fungerar ordentligt.;NEGATIVE;-1
113;2000-01-01;Master;Jag blev blöt i regnet och nu fryser jag.;NEGATIVE;-1
114;2000-01-01;Master;Jag är orolig för min vän som inte mår bra.;NEGATIVE;-1
115;2000-01-01;Master;Jag råkade spilla kaffe över mina papper.;NEGATIVE;-1
116;2000-01-01;Master;Det är så tråkigt att sommaren är över.;NEGATIVE;-1
117;2000-01-01;Master;Jag kände mig utelämnad när jag inte blev inbjuden.;NEGATIVE;-1
118;2000-01-01;Master;Jag har tappat bort mitt bibliotekskort.;NEGATIVE;-1
119;2000-01-01;Master;Jag är irriterad över att mitt tåg är försenat.;NEGATIVE;-1
120;2000-01-01;Master;Min dator kraschade, och jag förlorade viktiga dokument.;NEGATIVE;-1
121;2000-01-01;Master;Det regnar hela tiden, och jag känner mig så deprimerad.;NEGATIVE;-1
122;2000-01-01;Master;Tåget blev inställt igen, och nu måste jag stanna sent på jobbet.;NEGATIVE;-1
123;2000-01-01;Master;Den där presentationen gick förfärligt, jag tror jag gjorde bort mig totalt.;NEGATIVE;-1
124;2000-01-01;Master;Maten på restaurangen var smaklös och dyr, jag kommer aldrig gå dit igen.;NEGATIVE;-1
125;2000-01-01;Master;Min telefon har gått sönder, och jag vet inte hur jag ska klara mig utan den.;NEGATIVE;-1
126;2000-01-01;Master;Bråket med min vän gjorde mig ledsen, jag vet inte om vi kan lösa det.;NEGATIVE;-1
127;2000-01-01;Master;Min cykel blev stulen, nu kan jag inte cykla till jobbet längre.;NEGATIVE;-1
128;2000-01-01;Master;Det känns som allt går emot mig idag, jag har otur i allt jag gör.;NEGATIVE;-1
129;2000-01-01;Master;Jag förstår inte den här uppgiften, jag kommer aldrig att klara den.;NEGATIVE;-1
130;2000-01-01;Master;Vädret är hemskt, det är kallt, mörkt och blåsigt.;NEGATIVE;-1
131;2000-01-01;Master;Solen skiner idag, och jag känner mig full av energi.;POSITIVE;1
132;2000-01-01;Master;Jag fick ett nytt jobb, och jag är så glad över möjligheten.;POSITIVE;1
133;2000-01-01;Master;Middagen med mina vänner var fantastisk, vi hade så roligt tillsammans.;POSITIVE;1
134;2000-01-01;Master;Hittade en ny bok som jag inte kan sluta läsa, den är helt underbar.;POSITIVE;1
135;2000-01-01;Master;Träningen gick superbra idag, jag känner mig stark och frisk.;POSITIVE;1
136;2000-01-01;Master;Fick ett fint meddelande från min partner, det gjorde mig varm i hjärtat.;POSITIVE;1
137;2000-01-01;Master;Löste ett svårt problem på jobbet, känns skönt att lyckas.;POSITIVE;1
138;2000-01-01;Master;Gjorde en spontan utflykt, och det blev en underbar dag.;POSITIVE;1
139;2000-01-01;Master;Lärde mig något nytt idag, känns alltid bra att utvecklas.;POSITIVE;1
140;2000-01-01;Master;Tacksam för min hälsa, min familj och mina vänner.;POSITIVE;1
141;2000-01-01;Master;Solen skiner idag, och jag känner mig full av energi.;POSITIVE;1
142;2000-01-01;Master;Jag fick ett nytt jobb, och jag är så glad över möjligheten.;POSITIVE;1
143;2000-01-01;Master;Middagen med mina vänner var fantastisk, vi hade så roligt tillsammans.;POSITIVE;1
144;2000-01-01;Master;Hittade en ny bok som jag inte kan sluta läsa, den är helt underbar.;POSITIVE;1
145;2000-01-01;Master;Träningen gick superbra idag, jag känner mig stark och frisk.;POSITIVE;1
146;2000-01-01;Master;Fick ett fint meddelande från min partner, det gjorde mig varm i hjärtat.;POSITIVE;1
147;2000-01-01;Master;Löste ett svårt problem på jobbet, känns skönt att lyckas.;POSITIVE;1
148;2000-01-01;Master;Gjorde en spontan utflykt, och det blev en underbar dag.;POSITIVE;1
149;2000-01-01;Master;Lärde mig något nytt idag, känns alltid bra att utvecklas.;POSITIVE;1
150;2000-01-01;Master;Tacksam för min hälsa, min familj och mina vänner.;POSITIVE;1
151;2000-01-01;8 Sidor;Jakten på rånarna fortsätter men på måndagsmorgonen var de fortfarande fria;NEGATIVE;-1
152;2000-01-01;8 Sidor;Han har berättat att höften måste opereras, men han har inte velat säga när.;NEGATIVE;-1
153;2000-01-01;8 Sidor;Då tyckte experter att han var psykiskt sjuk, men inte så sjuk att han skulle slippa fängelse.;NEUTRAL;0
154;2000-01-01;8 Sidor;Han hade gått till sjukhuset men fick inte träffa sin läkare.;NEGATIVE;-1
155;2000-01-01;8 Sidor;Men festen slutade med blod och död.;NEGATIVE;-1
156;2000-01-01;8 Sidor;Nu håller vattnet på att sjunka men nya problem har dykt upp.;NEGATIVE;-1
157;2000-01-01;8 Sidor;Många turister har skadats men ingen har dödats.;NEGATIVE;-1
158;2000-01-01;8 Sidor;Stina Nilsson var bäst av svenskorna .;POSITIVE;1
159;2000-01-01;8 Sidor;Hur olyckan kunde hända är fortfarande oklart .;NEGATIVE;-1
160;2000-01-01;8 Sidor;Egyptens militärer säger att de ska ingripa och stoppa protesterna om inte regeringen och poliserna gör det .;NEUTRAL;0
161;2000-01-01;8 Sidor;Men vem bryr sig när han slår så fina passningar .;POSITIVE;1
162;2000-01-01;8 Sidor;Hon heter Ameenah Gurib-Fakim .;NEUTRAL;0
163;2000-01-01;8 Sidor;EU-kommissionen kan bli nöjd om länderna till exempel höjer skatten för att få in mer pengar .;POSITIVE;1
164;2000-01-01;8 Sidor;Då är risken att smittan blir ännu mer spridd .;NEGATIVE;-1
165;2000-01-01;8 Sidor;Tysken Stefan W Hell delar priset med Eric Betzig och William E Moerner från USA .;NEUTRAL;0
166;2000-01-01;8 Sidor;Experterna vill inte att vi ska resa till eller från Stockholm och andra stora städer .;NEGATIVE;-1
167;2000-01-01;8 Sidor;Det har snöat mycket i västra Sverige under natten till tisdag .;NEUTRAL;0
168;2000-01-01;8 Sidor;Linda Haglund sade att hon var oskyldig och hennes tränare erkände att det var han som gjort fel .;NEUTRAL;0
169;2000-01-01;8 Sidor;Ingen vet hur mycket det kommer att kosta att bygga upp New Orleans .;NEUTRAL;0
170;2000-01-01;8 Sidor;Fram till-1-10 ska regeringen lägga nästan 8 miljarder kronor på vägar och järnvägar .;NEUTRAL;0
171;2000-01-01;8 Sidor;EU vill att Europas städer ska få bättre skydd mot terrorister .;POSITIVE;1
172;2000-01-01;8 Sidor;I vintras gjorde vi en intervju med Cecilia Wikström .;NEUTRAL;0
173;2000-01-01;8 Sidor;Då var det världens största fartyg .;POSITIVE;1
174;2000-01-01;8 Sidor;År-1958 kom Sverige tvåa .;POSITIVE;1
175;2000-01-01;8 Sidor;Många människor flydde från det kommunistiska Östtyskland till Västtyskland .;NEGATIVE;-1
176;2000-01-01;8 Sidor;De är arga för att ett gammalt fartyg som Prestige användes för att köra olja .;NEGATIVE;-1
177;2000-01-01;8 Sidor;En av sakerna hon kämpat för är att kvinnor ska få köra bil i landet .;POSITIVE;1
178;2000-01-01;8 Sidor;Minst tio personer i två byar har blivit dödade .;NEGATIVE;-1
179;2000-01-01;8 Sidor;Din förening kan nu räknas som ett parti .;NEUTRAL;0
180;2000-01-01;8 Sidor;Det är vanligt att Nordkorea hotar med vapen för att få hjälp med pengar.;NEGATIVE;-1
181;2000-01-01;8 Sidor;Den brittiska regeringen är säker på att det var Ryssland som försökte döda dem .;NEGATIVE;-1
182;2000-01-01;8 Sidor;Det är inte första gången som det blir våldsamt på matcher i fotboll .;NEGATIVE;-1
183;2000-01-01;8 Sidor;Stina Nilsson var bäst av svenskorna .;POSITIVE;1
184;2000-01-01;8 Sidor;Hur olyckan kunde hända är fortfarande oklart .;NEGATIVE;-1
185;2000-01-01;8 Sidor;Egyptens militärer säger att de ska ingripa och stoppa protesterna om inte regeringen och poliserna gör det .;NEUTRAL;0
186;2000-01-01;8 Sidor;Men vem bryr sig när han slår så fina passningar .;NEGATIVE;-1
187;2000-01-01;8 Sidor;Hon heter Ameenah Gurib-Fakim .;NEUTRAL;0
188;2000-01-01;8 Sidor;EU-kommissionen kan bli nöjd om länderna till exempel höjer skatten för att få in mer pengar .;POSITIVE;1
189;2000-01-01;8 Sidor;Då är risken att smittan blir ännu mer spridd .;NEGATIVE;-1
190;2000-01-01;8 Sidor;Tysken Stefan W Hell delar priset med Eric Betzig och William E Moerner från USA .;NEUTRAL;0
191;2000-01-01;8 Sidor;Experterna vill inte att vi ska resa till eller från Stockholm och andra stora städer .;NEGATIVE;-1
192;2000-01-01;8 Sidor;Det har snöat mycket i västra Sverige under natten till tisdag .;NEUTRAL;0
193;2000-01-01;8 Sidor;Linda Haglund sade att hon var oskyldig och hennes tränare erkände att det var han som gjort fel .;NEGATIVE;-1
194;2000-01-01;8 Sidor;Ingen vet hur mycket det kommer att kosta att bygga upp New Orleans .;NEUTRAL;0
195;2000-01-01;8 Sidor;Fram till-1-10 ska regeringen lägga nästan 8 miljarder kronor på vägar och järnvägar .;NEUTRAL;0
196;2000-01-01;8 Sidor;EU vill att Europas städer ska få bättre skydd mot terrorister .;POSITIVE;1
197;2000-01-01;8 Sidor;I vintras gjorde vi en intervju med Cecilia Wikström .;NEUTRAL;0
198;2000-01-01;8 Sidor;EU säger att regeringen bestämmer för mycket över domstolarna .;NEUTRAL;0
199;2000-01-01;8 Sidor;Pengarna ska se till att det blir mer ordning och reda i skolan .;POSITIVE;1
200;2000-01-01;8 Sidor;Att vi har bra jämställdhet är också bra för att få bättre ekonomi i ett land .;POSITIVE;1
201;2000-01-01;8 Sidor;Det är svårare än tidigare för studenter att hitta bostad .;NEGATIVE;-1
202;2000-01-01;8 Sidor;Vad händer med den som blir sjuk ?;NEUTRAL;0
203;2000-01-01;8 Sidor;Taylor Michell vandrade ensam när de två vargarna anföll henne .;NEGATIVE;-1
204;2000-01-01;8 Sidor;Tingsrätten dömde Mijailovic till livstids fängelse för mordet på utrikesminister Anna Lindh .;NEUTRAL;0
205;2000-01-01;8 Sidor;Det hände nyligen när folk protesterade mot att Förenta nationerna , FN , finns i landet .;NEUTRAL;0
206;2000-01-01;8 Sidor;Där orkanen dragit fram har hus och vägar förstörts .;NEGATIVE;-1
207;2000-01-01;8 Sidor;Möter jag någon jag känner måste jag hålla avstånd , samtidigt kan det vara mycket ljud runt omkring , säger Paulina Palm .;NEUTRAL;0
208;2000-01-01;8 Sidor;Hagamannen tänker bo i Umeå när han släpps fri .;NEUTRAL;0
209;2000-01-01;8 Sidor;Verkets siffror visar också att färre människor dör i olyckor på jobbet .;NEUTRAL;0
210;2000-01-01;8 Sidor;Han säger att rebellerna har tagit omkring 400 fångar .;NEGATIVE;-1
211;2000-01-01;8 Sidor; Han är en farlig motståndare .;NEGATIVE;-1
212;2000-01-01;8 Sidor;Det har blivit vanligare med skjutningar och mord i de stora städerna i Sverige .;NEGATIVE;-1
213;2000-01-01;8 Sidor;Dackarna och Västervik ska tävla i två matcher i finalen .;NEUTRAL;0
214;2000-01-01;8 Sidor;Efter två perioder ledde Kanada bara med-1-0 och svenskarna jagade ett mål .;NEUTRAL;0
215;2000-01-01;8 Sidor;Han misstänks för att ha hjälpt en knarkliga att ta in knark i Sverige .;NEGATIVE;-1
216;2000-01-01;8 Sidor;Sveriges regering vill ha en skatt på flygresor .;NEUTRAL;0
217;2000-01-01;8 Sidor;Då hinner de inte med ett val också , säger Åsa Fahlén på Lärarnas Riksförbund .;NEUTRAL;0
218;2000-01-01;8 Sidor;Det är en ovanligt okänd person som blir chef för Skansen .;NEUTRAL;0
219;2000-01-01;8 Sidor;Olafur Gudmundsson från Kristianstad med bollen i finalen mot Alingsås .;NEUTRAL;0
220;2000-01-01;8 Sidor;William och Kate åkte till sjukhuset tidigt på måndagsmorgonen .;NEUTRAL;0
221;2000-01-01;8 Sidor;88-årige Noun Chea och 83-årige Khieu Samphan döms till fängelse resten av livet .;NEGATIVE;-1
222;2000-01-01;8 Sidor;Ett tåg med passagerare blev fast i Gävle .;NEGATIVE;-1
223;2000-01-01;8 Sidor;Det kan betyda att färre får hudcancer i framtiden .;POSITIVE;1
224;2000-01-01;8 Sidor;Nu ska domstolen titta på advokatens anmälan och undersöka vad som hänt .;NEUTRAL;0
225;2000-01-01;8 Sidor;Han ska också betala en halv miljon kronor till Andreas Danmans familj .;NEUTRAL;0
226;2000-01-01;8 Sidor;Hon vill också att sexsäljare ska behandlas som andra yrkesgrupper .;NEUTRAL;0
227;2000-01-01;8 Sidor;Regeringen har också tidigare sagt att de vill ordna lätta jobb i kommuner och landsting till de här personerna .;POSITIVE;1
228;2000-01-01;8 Sidor;Explosionen ska ha varit nära Taksimtorget .;NEGATIVE;-1
229;2000-01-01;8 Sidor;Vi vill också satsa en miljard kronor så att föräldrarna får ut 90 procent av lönen de månaderna .;POSITIVE;1
230;2000-01-01;8 Sidor;Nu ska en åklagare undersöka vad som har hänt .;NEUTRAL;0
231;2000-01-01;8 Sidor;Zlatan var matchens stora lirare .;POSITIVE;1
232;2000-01-01;8 Sidor;De flesta holländare vill nu göra det svårare för invandrare att komma till Holland .;NEUTRAL;0
233;2000-01-01;8 Sidor;Presidenten säger att Mohamed Hussein Roble ska jobba med att göra landet bättre och säkrare .;POSITIVE;1
234;2000-01-01;8 Sidor;Och de fick hjälp av stora företag som Facebook och Google .;POSITIVE;1
235;2000-01-01;8 Sidor;Europeiska Unionen , EU , har nu kommit överens om flera saker .;POSITIVE;1
236;2000-01-01;8 Sidor;Men Ryssland fortsätter att säga stopp till att släppa fram båtar .;NEUTRAL;0
237;2000-01-01;8 Sidor;Tre Kronor var på väg mot ett misslyckande i ishockey-VM .;NEGATIVE;-1
238;2000-01-01;Dagens arena;Integrationspolitiken har de senaste decennierna fokuserat på att vilket jobb som helst är ett bra jobb för utlandsutbildade .;POSITIVE;1
239;2000-01-01;Dagens arena;Det finns gott om lämpliga , demokratiskt sinnade aktörer att stödja , och deras behov är som sagt omfattande .;NEUTRAL;0
240;2000-01-01;Dagens arena;De tvingas att fatta tuffare beslut än vad de skulle önska i någon sorts ideal värld .;NEUTRAL;0
241;2000-01-01;Dagens arena;Om AD dömer till fackets och den uppsagdas fördel får personen utöver skadestånd också innestående lön under den tid som tvisten pågått och kan få behålla jobbet, och arbetstagaren kan precis som idag köpas ut av arbetsgivaren om denne inte vill ha hen tillbaka.;NEUTRAL;0
242;2000-01-01;Dagens arena;Socialdemokraterna ligger bakom-1900-talets stora jämställdhetsreformer men kampen för det jämlika och jämställda samhället måste fortsätta .;NEUTRAL;0
243;2000-01-01;Dagens arena; Arbetet måste injiceras både med väldigt tydliga insatser som går att mäta och följa upp , samtidigt som det är ett långsiktigt och outtröttligt arbete som såväl arbetsgivare som fackförbund måste orka driva .;NEUTRAL;0
244;2000-01-01;Dagens arena;Hotell- och restaurangfacket ( HRF ) anser att fackförbunden bör få någon form av ersättning för den extra arbetsbörda det innebär att lämna uppgifter till myndigheter , något de i sig menar är viktigt och en förutsättning för reformen .;NEUTRAL;0
245;2000-01-01;8 Sidor;I Uppland och på Gotland fick många skolbarn ledigt när deras skolor höll stängt .;NEUTRAL;0
246;2000-01-01;8 Sidor;Tidigare har Nicklas Lidström lett Detroit till seger år-1008 .;NEUTRAL;0
247;2000-01-01;8 Sidor;Människor från Norge , Island , Storbritannien , Schweiz och Liechtenstein får också komma .;NEUTRAL;0
248;2000-01-01;8 Sidor;Men i sitt tal berömde han Sverigedemokraterna för att de inte vill öka invandringen .;NEUTRAL;0
249;2000-01-01;8 Sidor;Så länge ett barn får behandling ska föräldrarna få ledigt , tycker regeringen .;NEUTRAL;0
250;2000-01-01;8 Sidor;Personer från Afghanistan var den grupp som lyckades bäst med att hitta jobb .;POSITIVE;1
251;2000-01-01;8 Sidor; Vi fick höra nyheten i söndags av männens föräldrar .;NEUTRAL;0
252;2000-01-01;8 Sidor;Det kan vara fler döda .;NEGATIVE;-1
253;2000-01-01;8 Sidor;Grekland regering ska spara pengar bland annat genom att höja pensionsåldern och ge mindre pengar till försvaret .;NEUTRAL;0
254;2000-01-01;8 Sidor;Sverige fick ingen medalj i VM i handboll för herrar .;NEGATIVE;-1
255;2000-01-01;8 Sidor;De måste genast få hjälp för att klara sig .;NEGATIVE;-1
256;2000-01-01;8 Sidor;De ska också undersöka om sådana läger för flyktingar också skulle kunna vara utanför EU .;NEUTRAL;0
257;2000-01-01;8 Sidor;Socialdemokraternas ledare Stefan Löfven får mer tid på sig att hitta stöd för att bli statsminister .;NEUTRAL;0
258;2000-01-01;8 Sidor;Miljöpartiet Alla människor har samma värde .;POSITIVE;1
259;2000-01-01;8 Sidor; Fler människor ska få jobb , det är viktigast för regeringen .;POSITIVE;1
260;2000-01-01;8 Sidor; Kan du komma hem utan att smitta andra ?;NEUTRAL;0
261;2000-01-01;8 Sidor;Ibland lyckas Nigerias soldater befria terroristernas fångar .;POSITIVE;1
262;2000-01-01;8 Sidor;De kidnappar , torterar och dödar oskyldiga människor , säger experterna i HRW .;NEGATIVE;-1
263;2000-01-01;8 Sidor;Colombias regering säger att landet måste få försvara sig mot gerillan .;NEUTRAL;0
264;2000-01-01;8 Sidor;Det firades med en stor fest i Stockholm på söndagen .;POSITIVE;1
265;2000-01-01;8 Sidor;Saab-arbetarna får vänta några veckor till innan de vet hur det går .;NEUTRAL;0
266;2000-01-01;8 Sidor;Det är också viktigt att samarbeta med andra länder om att få bort olagliga vapen .;NEUTRAL;0
267;2000-01-01;8 Sidor;Stefan Löfven sade att han kan samarbeta med alla partier utom Sverigedemokraterna .;NEUTRAL;0
268;2000-01-01;8 Sidor;Många irakier är glada över att Saddam Hussein är borta .;NEUTRAL;0
269;2000-01-01;8 Sidor;Sverige tog guld i mixedstafetten där det var två män och två kvinnor med i laget .;POSITIVE;1
270;2000-01-01;8 Sidor;Alla jublade , hurrade och dansade när de fick veta att presidenten hade lämnat ifrån sig makten .;POSITIVE;1
271;2000-01-01;8 Sidor; Det är ett fint pris som visar att du har gjort något bra , säger Dejan Kulusevski .;POSITIVE;1
