id	mydate	author	posts	text	polarity
25	2021-06-01	temasverige	#399	Arnulf får andra sökresultat som Google tycker ger större chans till pengar för dem efter deras omfattande kartläggning, eller för att han som du säger riskerar att rösta fel om han får se just det sökresultatet.	NEUTRAL
26	2021-09-03	Hoaxwatch	#267	URL URL Pfizer säger att de är så säkra på p-pillret att de redan har börjat producera det, innan tester är klara. Uppenbarligen är Pfizer medveten om att de har en blank check från regeringar för att producera läkemedel som ska bekämpa coronavirus och få det omedelbart godkänt för nödanvändning. De säger nu att folk kommer att ta det vid första tecknet på infektion , vilket skulle innebära så snart du testar positivt på ett PCR -test. Där har du din räddning! Kommer du att ta covid-pillret?	POSITIVE
27	2021-09-03	MeinKampf	#1545	Du kan vara lugn. Det är standard praktik sedan länge att producera både vaccin och mediciner innan de är godkända och anledningen är att man inte vill stå utan när/ om det godkänns. Detta börjande man med redan på 70-talet och alla bio / läkemedelstillverkare gör på samma sätt och det är även godkänt av WHO. Man överlappar även andra processer i kedjan fram till godkännandet.	POSITIVE
28	2021-09-03	LuluBrooksie	#16976	Och vi har ju ändå en statlig läkemedelsförsäkring i Sverige	NEUTRAL
29	2021-09-03	fummelpummel	#1102	Haha ok vad innehåller det här då? D-Vitamin + C-Vitamin?	POSITIVE
30	2021-09-03	krautbrain	#2383	Så det är typ Alvedon för Covid? Två gånger per dag också. Gissar på att Sverige köper_in miljoner piller utan att blinka	NEUTRAL
31	2021-09-03	Femtekolonnaren	#179	Jag tar givetvis mina två piller om dagen om folkhälsomyndigheten säger det. Jag är en lydig gosse. <slightly-smiling-face>	POSITIVE
32	2021-09-03	S.W.I.M	#117	Här har vi den egentliga anledningen till att Ivermectin har bekämpats stenhårt på alla håll och kanter The great shill war on pills, de ville vara företaget som först kom ut med tabletter mot Covid	POSITIVE
33	2021-09-03	okok1	#11889	Och vad kostar ett piller? 1000kr styck? <grinning-squinting-face> Självklart fungerar bara nypatenterade mediciner. <grinning-squinting-face>	POSITIVE
34	2021-09-03	Cheddarjoe	#3475	Är det Ivermectin fast med en mindre molekyl kommer jag skratta ihjäl mig	POSITIVE
35	2021-09-03	ibis99	#3445	Om det är sant, är det ju en fantastisk möjlighet.	POSITIVE
36	2021-09-03	magpest	#3257	Ja, Pfizer vill ha monopol (tjäna massa pengar på pandemin). Det vaccinkontrakt som Pfizer författade hade ett enda syfte (få bort Ivermectin från marknaden). Vem_som_helst får tillverka Ivermectin (Mercks patent gick ut 1996). Nu kommer Pfizer istället ha patent på dessa covidpiller och mjölka världen på pengar.	NEUTRAL
37	2021-09-03	Disputator	#452	It only works when we do it ” If successful, PF-07321332/ritonavir has the potential to address a significant unmet medical need, providing patients with a novel oral therapy that could be prescribed at the first sign of infection, without requiring hospitalization.” Men det är ju jättebra att det här kommer, äntligen kan vi få media att prata om behovet av tidig vård.. URL	POSITIVE
38	2021-09-03	Cannibalization	#2980	Tanken är väl ändå att man både ska ta vaccinet och dessa piller?	NEUTRAL
39	2021-09-03	Jasper.Newton	#352	Så är det. FHM rekommenderar läkemedel först efter dom genomgått tester och garanterat är säkra för användning. Det är därför så många gör narr av alla som inte tagit vaccinet än.	POSITIVE
40	2021-09-03	fummelpummel	#1102	Ok, hade inte en aning. Läste inte heller. Men C-Vitamin och D-Vitamin hjälper mot Covid-19!	POSITIVE
41	2021-09-03	korrektamund0	#1783	Antivirala substanser har historiskt sett varit svåra att ta fram. Tamiflu, tänker man direkt. Jag har inte läst alla inlägg men när man tittar igenom uppgifter ser det ut som en repurposed HIV-hämmare (Ritonavir) som man upptäckt har antivirala egenskaper som funkar bra på SARS-CoV-2. URL	POSITIVE
42	2021-09-03	Autobahn76	#3846	Om Dr Fauci och FHM ger klartecken så kommer jag så klart att ta ett piller utan att blinka. Bara vi får slut på denna fruktansvärda pandemi. Man skall lyssna på experter och vetenskapen!	POSITIVE
43	2021-09-03	negrofoben	#4038	Låter som ett antiviralt preparat! Det kan säkert bli nåt!	POSITIVE
44	2021-09-03	negrofoben	#4038	Bra tänkt där! Hoppas fler resonerar på samma sätt!	POSITIVE
45	2021-09-03	Onkel	#4909	Ja, det fungerar bra ... fram tills ... patentet går du. Då genomgår läkemedlet genast en förvandling, och blir så osäkert att tillverkaren behöver var allmänheten för att använda preparatet. (Exempel: Merck)	POSITIVE
46	2021-09-03	taenok	#2607	Det är nog tänkt att politiker ska köpa dom.	NEUTRAL
47	2021-09-03	Lugnochro	#3089	Med tanke på att Sverige köpt miljoner_doser vaccin till en population på tio miljoner_människor så har du nog helt rätt.	POSITIVE
48	2021-09-03	SmyghukareN	#1560	URL Dom på Daily stormer har roligt åt pillret. Pharmaceutical megacorporation pfizer is now developing a COVID pill that is meant to be taken alongside the COVID vaccines that have already made the company a staggering amount of money. The new pill is expected to be released by the end of the year and will be required to be taken twice per day. Success against #COVID19 will likely require both vaccines & treatments, Pfizer CEO Albert_Bourla said on Wednesday. We're pleased to share we've started a Phase 2/3 study of our oral antiviral candidate-specifically designed to combat SARS-CoV-2-in non-hospitalized, low-risk adults. Oja, två piller om dagen för hela mänskligheten livet ut, från vaggan till graven, samt nya sprutor varje vecka, det blir pengar det. Hur i hvete har mänskligheten överlevt så här länge utan dagliga piller och sprutor? Om bara några månader går din ytterdörr inte att öppna om du inte har tagit dina piller och att ditt vaccinpass innehåller bevis på den senaste veckans sprutor. Jisses...	POSITIVE
49	2021-09-04	senapslamm	#2934	Du kan var lugn. Det är inte Donald_Trumps och Lars_Berns verkningslösa malariamedicin.	NEUTRAL
50	2021-09-04	boldogg	#3792	Kommer pillret att finnas med i Covidpasset? Kommer jag som pillervägrare få handla på ICA?	NEUTRAL
51	2021-09-04	Innerfittefett	#1784	Låter som ett bra antiviralt piller! Troligtvis bättre än Ivermectin som alla foliehattar hävdar vara en mirakelkur! Tar gärna detta före ett avmaskningsmedel ... ...	POSITIVE
52	2021-09-04	Hejhejahejda	#696	Ivermectin är likt ibuprofen/paracetamol på det vis att den hjälper till mot flera åkommor.	NEUTRAL
53	2021-09-04	Siix	#4807	Jasså. Pfizermectin är på gång nu alltså. Ännu en konspirationsteori som bli sanning.	NEUTRAL
54	2021-09-04	Hoaxwatch	#267	Jag går inte på det i alla fall.. allt som har med pfizer, Bill_Gates, WHO, etc. etc. håller jag mig borta från	NEUTRAL
55	2021-09-04	Stopp.Belagg	#330	En gissning är att pillret består av någon kemikalie som påminner om hodroxiklorokin eller ivermectin men som är så_pass annorlunda att den går att ta patent på och därmed sälja dyrt.	NEUTRAL
56	2021-09-04	Hoaxwatch	#267	Ingen aning, men ett obligatorisk corona-pass kommer du att behöva så småningom...	NEUTRAL
57	2021-09-04	korrektamund0	#1783	Ursäkta en annan, men här utgör du tyvärr ytterligare exempel på att det finns fog för kraven på att folk faktiskt skall läsa den aktuella informationen INNAN de svänger sig med schangtila kommentarer. Utan att dra_ut på det i alltför komplicerade formuleringar som du ändå inte kommer förstå (en slutsats som bygger på dina uppenbara problem med läsförståelsen): ingen behöver äta två piller om dagen för hela mänskligheten livet ut, från vaggan till graven, samt nya sprutor varje vecka .	NEUTRAL
58	2021-09-04	Idumea	#2213	Okej, så varför slänger sig inte alla företag över ivermectinet då? Att det är en billigare generika känns sekundärt om det är ett fucking botemedel mot covid. Jag lovar att det är vad som kommer hända om vi får konkreta bevis på att det funkar i studier man gör.	POSITIVE
59	2021-09-04	SmyghukareN	#1560	Pillren får snart nog alla pillra i sig, detta då vaccinet inte hjälper mera än några veckor. Sprutor slipper man nog äta, lite vassa stickiga saker det där, måste vara som att äta flamberad igelkott.	POSITIVE
60	2021-09-04	Link04	#2332	Källkritikbyrån har jag för mig har sagt något om att dessa piller är dåliga. Stämmer det?	NEUTRAL
61	2021-09-04	overthehead	#274	Det är en liten studie på bara personer ,så inget som normalt brukar godtas här på FB som nått bevis för att ett läkemedel fungera.	POSITIVE
62	2021-09-04	Link04	#2332	Okej. Har man testat pillret på djur?	POSITIVE
63	2021-09-04	overthehead	#274	varför skulle man göra det , är det ytterligare en hästmedicin?	NEUTRAL
64	2021-09-04	Link04	#2332	Företagen brukar väl testa sina nya läkemedel på djur innan dom prövas på människor.	POSITIVE
65	2021-09-04	KreugerGuld	#756	De kommer testas gladeligen av fåren i samhället (facistvaxxarna).	POSITIVE
66	2021-09-04	overthehead	#274	Vad för nytta skulle det göra, djur är inte människor!?	POSITIVE
67	2021-09-04	korrektamund0	#1783	Man FÅR inte genomföra clinical trials om man inte genomfört preclinical trials och samlat_in nödvändig data gällande säkerhet etc. Detta inbegriper försök på djur.	POSITIVE
68	2021-09-04	korrektamund0	#1783	Avsikten med försöket är att fastställa effektivitet och säkerhet på människa. Inte djur.	POSITIVE
69	2021-09-04	Link04	#2332	Okej uppfattat. Har dom kört djurförsök på vaccinerna?	NEUTRAL
70	2021-09-04	overthehead	#274	jag är en påhejare av medicin för människor!	NEUTRAL
71	2021-09-04	overthehead	#274	Men hur kan en medicin som används på djur vara säker för människor?	POSITIVE
72	2021-09-04	trickydick	#11145	Samma här men jag får inga 5G Bara 4G i min 5G-telefon.	NEUTRAL
73	2021-09-04	Ankan-mannen	#934	Problem, det konkurrerar med deras vaccin, det sades att det skulle vara lätt att restaurera vaccinet till nya varianter, det har inte skett. Är detta orsaken?	POSITIVE
74	2021-09-04	SmurfSmurf	#8849	Ritonavir - Ett antiviralt preparat som redan används, fast mot HIV. Att ta det i fem dagar om jag trots vaccinationen fick covid, visst, det skulle jag överväga. Kan vara ett bra alternativ för antivaxxers också, hellre dagar på ett beprövat piller än sprutor.	NEUTRAL
75	2021-09-04	Ankan-mannen	#934	För år sedan skulle det varit koncentrationsfångar.	NEUTRAL
76	2021-09-04	overthehead	#274	men det säger ju inget om att medicin som djur tål skulle även människor tåla!	NEUTRAL
77	2021-09-04	korrektamund0	#1783	Möss och råttor är vanligt innan man slutligen testar på apa. I fallet med Covid-vaccin har de flesta genomfört försök på Makaker. Alla vi med någorlunda insikt och kunskap i dessa processer vet hur man enkelt hittar information om dessa försök samt vilka resultat som genererades. URL	POSITIVE
78	2021-09-04	korrektamund0	#1783	Det är inte alltid det är så. Just därför har man en validerad och godkänd process på plats för att generera det data som krävs för att fastställa säkerheten för användning inom vetetrinärmedicin respektive på människa.	POSITIVE
79	2021-09-04	RandomWanderer	#2761	Vänstern med WHO går företagens ärenden numera. Vi har redan ivermectin men det saknar patent och är ingen inkomstkälla. Nu låter Vänstern med WHO dessa företag binda upp samhällskontrakt på nya otestade läkemedel som kostar miljarder. Media har gått dess ärende och sett till att de et blir som Vänstern vill. Över positiva studier och endast negativa vill inte Vänstern veta av. YouTube/FB har slagit armkrok med vänsterextremism och censurerar sanningen.	POSITIVE
80	2021-09-04	Link04	#2332	Haha bra grävt. Ska jag kolla in.	POSITIVE
81	2021-09-04	Lugnochro	#3089	Du får lugna dig, krävs nog mellan fem och åtta sprutor innan effekten visar sig.	NEUTRAL
82	2021-09-04	SmurfSmurf	#8849	Vem har patent på ritanovir? Eller har det gått ut? Vet inte hur man ska ta_reda_på det.	NEUTRAL
83	2021-09-04	Ankan-mannen	#934	Nej, det testar man i senare fas, rätt mycket stämmer_överens med människor. Man vet också till viss del skillnaderna, och vilka djur som är mest lika människan. Man testar även på cellnivå. Möss utvecklas snabbt och därför används de mycket.	POSITIVE
84	2021-09-04	Ankan-mannen	#934	Vänster Krister har talat URL URL URL URL	NEUTRAL
85	2021-09-04	korrektamund0	#1783	Om jag inte är helt felinformerad är det Abbvie Inc som äger patentet. URL URL	NEUTRAL
86	2021-09-04	Link04	#2332	Du skriver alla vi med insikt vet hur man hittar info om dessa försök. Vilken yrkesgrupp pratar du om?	POSITIVE
87	2021-09-04	Link04	#2332	Ok. Arbetar du inom det området? Du verkar så ivrig och verkar ha ett stort intresse kring vaccinerna. Du är duktig på att hitta information. Lite ovanligt.	POSITIVE
88	2021-09-04	Ankan-mannen	#934	Patentet på köttbullar har gått ut, det lönar_sig att sälja köttbullar ändå.	NEUTRAL
89	2021-09-04	Ankan-mannen	#934	Okej, då tar vi vanliga mediciner, de slutar inte tillverkas efter_att patenten gått ut, då fler tillverkare slåss om att sälja hamnar priser närmare kostnaden att tillverka dem. Fler har råd och de får större försäljningsvolymer under denna förutsättning, att ingen nyare och bättre medicin har framställts. Är medicinen bra och bäst och få biverkningar så säljs den mycket utan marknadsföring som nya mediciner har. Alla vet för och nackdelar med den gamla medicinen och des prisvärde.	POSITIVE
90	2021-09-04	Lugnochro	#3089	Såvida du inte tillverkat en bättre medicin. Då kommer det varningsflagg för den gamla så producenter inte kan ta den med en tång ens.	POSITIVE
91	2021-09-04	Ankan-mannen	#934	Tar hellre sprutor vaccin än denna . URL	NEUTRAL
92	2021-09-04	Link04	#2332	All utbildning efter läkarexamen går via läkemedelsföretagen säger mina läkarpolare	NEUTRAL
93	2021-09-04	MachDiamonds	#803	Bra ändring av strategi från sin sida. Inga *hihi* längre och korta substansfokuserade inlägg. Din tidigare strategi fungerade inget vidare, eller_hur? Oavsett, det är uppskattat.	POSITIVE
94	2021-09-04	MachDiamonds	#803	Jag har en släkting som jobbade med läkemedelsutveckling på Pfizer under många år och nu har eget företag inom samma område. Guess what? Hon tänker inte ta vaccinet. Just på_grund_av att hon vet hur Pfizer arbetar.	POSITIVE
95	2021-09-04	JohNils	#3286	Intressant! Revolving doors som det kallas - mellan politik, byråkrati och läkemedelsbolag. Dvs svängdörrar... Det är så korrupt nu, fungerar så med allting. Det är ett system som börjar nå sin naturliga livslängd och därefter kollapsar av sin inre dynamik. Jag pratar om demokrati i_kombination_med en alltmer oreglerad kapitalism. Och nej jag förespråkar inte kommunism som lösning på detta problem. Det enda som har fungerat historiskt är hela samhällsklasser som är ideologiskt vaccinerade mot materiell vinning och fördelar. Krigare- och prästkaster som har andra ideal än köpmännens värld. /Johan	POSITIVE
96	2021-09-04	Lugnochro	#3089	Min farsa fick runt tjugotal mediciner. En dag så satte jag mig ner och gick genom allt och kontaktade läkaren som skrivit_ut den senaste och påpekade detta. Slutade med att de plockade_bort tolv av dessa. Så vill man väl för sina äldre så googlar man vilka mediciner som fungerar med andra. Litar inte alls på läkare.	POSITIVE
97	2021-09-04	Link04	#2332	Sant. Och alla Pfizer troll försvinner direkt när man pratar om pengar. Jävla kärringar Helt klart är att det är korrupt procent och det är svårsmält för majoriteten att det faktiskt är så. Dom vill väl hoppas att främlingar i media inte lurar dom. Kan man förstå.	NEUTRAL
98	2021-09-04	Lugnochro	#3089	Kom ihåg nu att morsan fick tramadol utskrivet mot tinnitus. Självklart har du bara träffat bra läkare, konstigt vore det annars.	NEUTRAL
99	2021-09-04	Ankan-mannen	#934	Men det beror på de enskilda läkarna, du kommer till läkaren, hen vet inte vad du har, om minuter ska hen träffa nästa patient, denna medicine skulle kunna hjälpa, och att säga; jag har ingen behandling åt dig, det gör hen inte. Mängdvaccinering mängdmedicinering har andra förutsättningar, ingen enskild läkares dåliga beslut.	NEUTRAL
100	2021-09-04	Lugnochro	#3089	Då förstår du varför jag anser att läkare av idag är samhällets bottenskrap, de har gått om advokater som har ansetts varit den kapitalistiska ådran i samhället.	POSITIVE
101	2021-09-04	Lugnochro	#3089	Jag kunde på några minuter kolla vad han fick. De har internet och journaler. Men tack för att du bevisar min ståndpunkt om att lita på läkare kan leda till döden eller ett livslångt lidande.	POSITIVE
102	2021-09-04	Skadan	#612	Det brukar ju vara så när det handlar om virus...	NEUTRAL
103	2021-09-04	Link04	#2332	Haha damage control. Är Pfizer bra lirare? Ska man lita på dom?	POSITIVE
104	2021-09-04	santos_deville	#7352	Är det sant att man måste vara med i en frimurare grupp för att få tillgång till dessa piller? Hörde också det från en högt uppsatt men på Läkemedelsverket, han är jude. Shit asså, kanske är det att man blir gay av det. Wow	POSITIVE
105	2021-09-04	Lugnochro	#3089	Förstår att det snurrar i ditt huvud. Verkar lättsnurrat.	NEUTRAL
106	2021-09-04	Siasoss	#2440	Läser du på en enda sekund så ser du att det är nåt man ska ta dagar vid konstaterad sjukdom. Å då ska man ju rimligen stanna hemma också å inte springa på ICA å hosta. Så nej, berättar du på Ica att du käkat covid piller blir du nog vänlig men bestämt ombedd att komma tbx en annan dag.	NEUTRAL
107	2021-09-04	Skadan	#612	Du ska lita på preparaten, och även på företaget. Om FDA godkänner pillrena för det användningsområde dom är ämnade för kan du ta vid behov. Ja, pfizer är ett företag och dom vill tjäna pengar. Dom som jobbar där vill också ha högre lön. Mediciner kommer inte helt gratis.	POSITIVE
108	2021-09-04	Link04	#2332	Okej. Känner du någon på FDA eller litar du bara på dom?	POSITIVE
109	2021-09-04	overthehead	#274	Men där går dom ju direkt till från test på djur till test på människor ,vad är den validerings process du pratar om , vart är steget mellan djurtester och test på människor?	POSITIVE
110	2021-09-04	Skadan	#612	Jag litar bara på dom. Jag har ingen anledning att tro att dom är ute efter_att skada mig och andra människor.	NEUTRAL
111	2021-09-04	Link04	#2332	Okej skönt för dig Puss och kram.	POSITIVE
112	2021-09-05	korrektamund0	#1783	Steget mellan apa och människa är direkt. När man testat på apa söker man frivilliga alternativt betalar. Inget konstigt. Folk skulle bli förvånade om de visste hur många studenter som finansierat sina college-studier genom_att agera försökskaniner i medicinska försök.	NEUTRAL
113	2021-09-05	roffe69	#285	Det var väl så Spindelmannen blev till?	NEUTRAL
114	2021-09-05	InteRoligt	#530	De producerar Ivermectin som de själva kan tjäna på, det är pfizer vi talar om. Fortsättning på Prenumerationen på din egen hälsa som vaccinerad . sprutor blir som blir som blir en varje månad plus piller om dagen.	POSITIVE
115	2021-09-05	Almanacka2018	#762	Vi kräver lite mer utförliga tester för att det ska bli godkänt för användning i EU. Skulle jag få covid och få den medicinen och den hjälper att påskynda tillfrisknandet så varför inte, om EU har godkänt den för användning.	POSITIVE
116	2021-09-05	boldogg	#3792	Ja, du har rätt. Det är inget nytt påfund att kontrollera folk som ska gå_in i en butik. Detta var en välutvecklad metod i nazityskland. Nazister sysslade med detta och det är anti-semitiskt.	POSITIVE
117	2021-09-05	Hoaxwatch	#2670	lol Ett bra verkande vaccin tar mist år att framställa. Covid-vaccinet tog mindre än 1,5 år att framställa, som nu är bevisat att det är verkningslöst. Och det tycker du att jag ska ta, som har varit full_frisk de senaste åren?	POSITIVE
118	2021-09-05	Ankan-mannen	#934	Det tog förr decennium för biltillverkare att göra bra bilar, sen kom Tesla. Tesla bygger mycket på vad andra tillverkare redan gjort. Sak samma med vaccin. Du ät fullt frisk, gratulerar, men det kan innebära att ditt imun inte fått jobba på två år och slöat_ner sig.	POSITIVE
119	2021-09-05	Binary	#6197	Vad pratar du om? Det tar inte år längre. Nu tar det 1-2 år, tider och tekniken och vetenskapen förbättras varje år. Det är bevisar att det fungerar i kliniska tester som pågick i flera månader. En anledning till att de kunde ta_fram vaccin snabbt är att viruset påminner mycket om tidigare virus som SARS så det fanns redan färdiga metoder och tekniker och personal för att ta_fram kandidater till fungerande vaccin.	POSITIVE
120	2021-09-05	TrazanSatansson	#1360	 Tog , inte tar . Den tekniska utvecklingen har gått framåt, du vet... Dessutom finns all forskning om det förra SARS-viruset kvar, man behövde inte börja från scratch här. Edit: nr på den bollen.	NEUTRAL
121	2021-09-06	Binary	#6197	Från de stora kliniska_studier på vaccinen som har utförts. Varför tror du att vaccinets syfte bara är att skydda mot allvarlig_sjukdom? Var har du fått den informationen ifrån?	POSITIVE
122	2021-09-06	Tompa81	#7568	Svenska folkhälsomyndigheten. Varifrån får du informationen gällande immunitet och icke smittspridande?	POSITIVE
123	2021-09-07	livsutrymme	#118	Det funkar på samma sätt som ivermectin - protease inhibitor URL r/	POSITIVE
124	2021-09-07	RonPaul2008	#1762	Vad menar ni med att inte bli dödssjuk ? Påstår ni att efter man tagit vaccinet inte kan dö utav covid? Det är alltså 100% skydd?	NEUTRAL
