id	mydate	author	posts	text
11	2021-06-03	bjornebarn	#9922	Fast eftersom spikproteinet är en viktig förklaring till varför virus smittar oss så lätt, så är det ju bra att göra världen immun mot det så att inte Kina kan producera SARS-3 med just spikprotein.
12	2021-07-22	Kglanvflmabjx	#655	Sluta diskutera naturligt argumentet. Det är påhittat av postskaparen och en meta-diskussion. Ingen avstår pga argumentet det är inte naturligt .
13	2021-09-06	vittne-x	#1543	Eftersom både ovaccinerade samt vaccinerade med både och vaccinationer smittar lika mycket med Delta, omöjliggjör detta ett vaccinpass, eftersom förutsättningar för detta vaccinpass var att den vaccinerade INTE spred smittan, vilket nu bevisligen påvisat sig vara helt fel. Därav har nu kraven återkommit på att vaccinerad person ska ta Covid 19 test max dagar innan inresa till te.x USA. Folk som yrar om mänskliga rättigheter i kombination med vaccinationer har inte fattat att strategin från början enbart var att vaccin skulle vara ett komplement, nu har man spårat ut helt och har ett icke fungerande vaccin som en gyllene standard. Den skyddar bara bäraren till viss del, baserat på när den togs, eftersom dess effekt minskar med tiden, människor omkring denna individ är fortfarande lika oskyddade vare sig de är vaccinerade eller inte, är det att följa mänskliga rättigheter... Det är kriminellt att syssla med bedrägerier, oavsett om det handlar om pengar eller andra förmåner , där nu vaccin-passet redan tangerar bedrägeri, eftersom det inte fungerar som utlovats och dessutom förvärrar smittspridningen på det sätt som man nu vill genomföra vaccin-passet när det redan är bevisat att smittan fortfarande sprids, dessutom mellan vaccinerade - se på Israel. Hade man varligt ärliga och tillfört kompletteringar till vaccinpasset typ masker och andra åtgärder hade man fortfarande kunnat förhandla i frågan, nu har det blivit ett juridisk mål som redan bryter mot Nürnberg-lagar , tacka fan för att folk reagerar. Du har inte tagit ett skit i ansvar genom att ta sprutan, du tog sprutan för att säkra din egen hälsa från svårartad infektion, du sprider fortfarande smittan lika bra om du skulle bli smittad. De enda som inte sprider smittan är de som redan haft infektionen innan vaccin delades ut. Det är dessa som borde ha vaccinpassen idag.
14	2021-03-15	Enkompisundrar	#79	Min poäng är avgjort att det är otroligt märkligt. Hur en del har massor av kontaktpunkter vilka har blivit märkbart sjuka, och en del ingen alls. Vi har som sagt mer eller mindre levt som vanligt. Det har varit aktiviteter för barnen flera ggr veckan utan någon skillnad, för oss hemma och arbetat som vanligt. De vi känner inom vården vittnar om att i början dog folk när de vände på dem och ingen visste något. Nu är det annorlunda. Ifrågasätter inte sjukdomen och beho Lvet av fungerande vaccin. Det är ett måste och då känns små biverkning eller extremt liten risk, försumbara. Men fan vad märkligt det är med olika upplevelser.
15	2021-09-08	NurseRatched	#16946	Skitsnack. Alla ssk som vaccinerar förstår vad det där rör sig om och hur man behandlar det.
16	2021-02-03	kjellkritisk	#6704	URL beskriver bland annat uppskattad andel. I SVTs agenda var läkare och representant från Socialstyrelsen och angav uppskattande men osäkra siffror.
17	2021-07-21	justformybaby	#1279	det är inte vetenskapen som säger sånt. vetenskapen forskar.
18	2021-12-29	Nycticorax	#1207	Det har pratats mycket om att vaccin kan trigga redan existerade besvär, och det låter ganska troligt då man hittar detta spikprotein lite överallt i kroppen. Mycket problematiskt då att det är sådan vaccin-hets i dagens samhällsklimat att man många med bakomliggande åkommor känner sig tvingade att ta det, när de istället kanske bör vänta tills andra typer av vaccin finns.
19	2021-08-13	estone	#5531	Det är ett otestat vaccin. Först efter år kan man säga att det är testat. Så funkar det med andra vacciner. Det kanske blir stora rubriker vem vet. Men kanske inte heller. Vi vet att fertilitet i väst minskar redan nu och ingen vet varför. Kanske kommer det minska ytterligare med vaccinet, det ser vi först långt fram kanske år.
20	2021-06-01	GonerStoner	#1961	Så bara för att man väljer att inte fylla sin kropp med kemikalier som inte testats för långvariga biverkning är man högerextrem? Skall man inte vara kritiskt till något som i grund och botten drivs av pengar? Dom jublar ju över varje doktor som skriver ut tex Xanor som ägs av Pfizer, dom har även skapat en medicin som heter Lyrica och är EXTREMT beroendeframkallande. . Sen är jag inte anti-vaxer, vill människor ta vaccin så varsågoda Jag bestämmer över min egen kropp har följt restriktioner , bär mask på affären men känns meningslöst då 90% går utan och trängs. Ärligt talat så tar jag hellre Corona framför sprutan. på mitt jobb har haft det och dom var sjuka några dagar sen var det över.
21	2021-02-08	sovad-p1	#400	Tack, Eller Agenda for the 21st century . länder har skrivit under på denna agenda. En världsregering med total kontroll över ALLT. EEE - Economy, Ecology, Equity. Det börjar bli, för dem, oroväckande många som läser på och förstår. Därför vill de så snabbt det bara är möjligt få så många som möjligt att ta vaccinet. Viktigast är att kristna tar vaccin först. Alternativa röster gör sig allt mer hörda och uppror som detta kommer vi se flera av såvida de inte slås ner snabbt och brutalt. URL URL Nu börjar fler länder backa när det blir för uppenbart för befolkningar vad detta vaccin faktiskt är. Portugal deklarerar PCR-tester otillförlitliga URL Sydafrika stoppar Astra Zenecas vaccin URL Shweitz stoppar Astra Zenecas vaccin URL Indien stoppar Pfizer vaccin URL Tack för våra ineffektiva politiker. Kanske hinner en hel del med livet framför sig ta en timme och läsa på innan de tar vaccinet.
22	2021-05-04	Milldue	#5090	Eftersom du förr eller senare får corona om du är ute bland folk bör du sluta gå till arbetet och vistas ute bland folk.. Då slipper du KANSKE att bli smittad. Ingen lär bli tvingad att vacccinera sig.. Möjligen indirekt tvång ungefär som med Swish och mobilt bankID. Har man det inte får man problem ute i samhället.
23	2021-05-16	pinnpelle88	#1938	En apotekarie skickade iväg vaccin på labb-prov för att få någon form av fakta vad dessa vaccin innehåller, tillbaka får hon ett blankt papper; URL
24	2021-03-22	Appelblom78	#35	Uppmuntra era nära och kära att anmäla biverkning . Låter himla olustigt med minnespåverkan..
25	2021-09-02	TOMOFSCANIA	#57	 =BillyThe0ne Okej den tredjedelen som faller under konspiratoriska grunder är ju helt hopplös Jag den är hopplös. Ofta är dessa folk religiösa antingen djupt kristna/muslimer, eller har tittat för mycket youtube. Präster och imamer för väl göra jobbet. Covidpass till moskeen är enda rätta. Covidpass till samtliga gudstjänster, bröllop, religiösa ceremonier med mera. Inget covidpass = ingen gudstjänst och ingen bön.
26	2021-06-10	Vit-Brandbil	#6607	Vaccination med första sprutan Pfizer i nästa vecka.
27	2021-06-05	GooksInTheWire	#2406	Har du kollat upp vem Stephanie Seneff är och vad hon har för speciella kvalikfikationer att yttra sig om vaccin och spikproteiner? Hon får tycka saker precis som du och jag men någon auktoritet är hon knappast. Man kan lika gärna citera vem som helst här på FlashBack.
28	2021-09-04	Link04	#2332	Företagen brukar väl testa sina nya läkemedel på djur innan dom prövas på människor.
29	2021-07-05	Incendio	#3425	 Att vaccinerade rör sig mer i samhället är självklart - citat du.
30	2021-01-06	Cannibalization	#3017	Trist att du inte får hjälp av primärvården heller, som du skrev. De vet kanske inte hur eller vad de kan göra i det här läget heller? Har hört talas om en del andra som har haft liknande symptom som håller i sig över lång tid. månader är nog längsta perioden jag hört om hittils dock. Annars brukar bortfall av lukt och smak vara vanligt, du har inte haft något sånt också? Hoppas det blir bättre för dig framöver.
31	2021-07-20	lantispreppern	#41	Hehe no offense, men jag tror jag litar på sjuksyrran jag pratar med före en random på flashback. Av min erfarenhet att dömma så brukar de oftast veta vad de pratar om och bara vilja hjälpa mig och inte pusha någon personlig agenda.
32	2021-10-02	Skojarn	#1071	Mm, som den högkvalitativa studien kring Astra Zenecas vaccin som bolaget maniskt hänvisade till när unga över hela världen började dö av vaccinet. Den studien duger kanske till att torka rumpan med så här i efterhand.
33	2021-06-01	henriko	#7363	Nej. Det är inte orimligt att anta att en kedjereaktion som skapar extremt många potentiell skadliga proteiner är farligt för kroppen som helhet, samtidigt som man antar att en begränsad mängd potentiell skadliga proteiner är ofarligt för kroppen som helhet. Lägg av nu!
34	2021-11-09	barfotalasse	#3538	Det är snarare staten och vaccinhetsar fel. Faktiskt. Och delvis media. Det mesta är skrämselpropaganda och signalpolitik. Jag är dubbelvaccinerad men ändå ganska besviken så här i efterhand. Tänker aldrig ta en tredje dos. Helt poänglöst. Jag är ung och frisk. Nu är jag bara för att vaccinera riskgrupper . Vaccinets effekt är ungefär lika med noll efter ett halvår och man kan forfarande sprida smittan lika mycket som ovaccinerade. Förmodligen mer eftersom man får mindre symptom. Skydda mot allvarlig sjukdom är skrämselpropaganda och blivit en slags mediamyt eftersom försvinnande få friska och unga inte blir det ändå. Det gäller möjligen riskgrupper men med så försvinnande låg dödlighet bland friska under är det inte applicerbart. Vissa pratar t.o.m. att vaccinera barn. Maken till ovetenskapliga stolligheter finns inte. Antal döda barn i covid är knappt mätbar och om de mot förmodan skulle visa sig verkligen dö av covid har de nästan alltid en rad allvarliga bakomliggande sjukdomar. Förmodligen hade de dött ändå. Statistiken och datan från flera länder är glasklar vid det här laget: Covid 19 är inget som helst samhällshot mot folkhälsan. Lockdowns och restriktioner är däremot det.
35	2021-01-12	OY	#29008	Antagligen ångrar hon sig. Det tråkiga är att hon sannolikt aldrig får upprättelse. Inte osannolikt att man säger att vi vet inte vad det beror på, vi kan inte se att det har en koppling till vaccinet.
36	2021-07-23	slagskott	#318	Nästan frisk igen, det värsta var för tre dagar sedan och nu är jag i princip återställd men jäklar vad länge det höll i sig. Gick inte till doktorn, vi åkte på semester dagen efter jag skrev inlägget och jag chansade igen, höll på att dö av brusten blindtarm för en del år sedan för att jag likt alla män tänker att det ordnar sig ändå
37	2021-09-03	CKCS	#1356	Han har ju redan ggr bättre skydd än morsan. Han borde säga till morsan att se till att få smittan så hon får lika bra skydd.
38	2021-09-17	Taggen2	#984	Slå på nyheter . Det talas allt mer om en tredje dos pga att bla äldre insjuknar på äldreboenden. Det tas återkommande upp i de flesta dagstidningar , på FHMs pressträffar m.m. det döljs inte.
39	2021-09-11	nidhoogen	#1231	Är ganska säker att jag personligen hade varit mer självsäker än läkare när en person får en biverkning av vaccin . Och jag har inte en aning om vad fan som händer.. Tror inte ens Dr Yeadon eller någon av alla med bra koll och hjärtat på rätt plats heller vet, och det är poängen, ingen ska veta. Det är inte så enkelt som att säga till ett fetto med högt blodtryck att ändra sina kostvanor och börja röra på sig så är biffen klar.
40	2021-06-23	Kakksakker	#574	Du frågade och ifrågasatte förstås VARFÖR du ska ta som har haft viruset! Sådana som du är problemet!
41	2021-03-13	Gaffelpärm	#909	Personalen på ett äldreboende. Resultatet efter vaccineringen: 45st i personalen (7st hade haft bekräftad covid) *35st blev så pass sjuka och fick stanna hemma efter sprutan. Biverkningar är dock svaga
42	2021-08-13	P71	#1762	Ja, det hade varit en sak om Jan Albert (som är läkare och professor) hade hållit sig till medicinska argument varför man skall vaccinera sig. Men när han istället börjar prata om incitament, att göra livet enkelt för vaccinerade och svårt för de ovaccinerade, att stoppa ovaccinerade från att delta i samhällsaktiviteter, då är det ju politisk apartheid och fascism som han propagerar för.
43	2021-06-26	kaffekoppen	#606	Tack för tips! Jag kollade runt på Läkemedelsverkets sida och läste om det nu, verkar antingen som att en leg. läkare måste ta emot rapporten från patienten direkt. Eller så kan man förstås skriva ut en blankett själv, och skicka in via snigelpost. Lite omständligt, kanske..
44	2021-12-29	DeliciousUS	#116	Öppna ögonen då och se URL URL URL räkna hoppas jag du kan göra själv :-)
45	2021-12-17	sxephil	#1512	På Flashback finns det en kultur att ange källor så ämnen kan diskuteras. Att säga sök själv gör diskussionen omöjlig att föra på Flashback.
46	2021-03-07	brutalare	#1697	Förut jag var ytterst tveksam. Men nu tror jag ändå att jag kommer vaccinera mig mot skiten så att världen kan bli normal och man slipper dessa restriktioner.
47	2021-09-09	nidhoogen	#1231	Det säger den unga kvinnan i klippet inte. Har hört om andra vaccinerade med samma bölder i munnen men först nu jag ser en rörlig video.
48	2021-08-13	Innerfittefett	#1878	Ja dom här stollar dyker ju upp i och skapar ständigt nya trådar om hur jävla farlig vaccin är. Att sen all vetenskap och verkligheten visar på motsatsen går ju inte in i deras förtvinade hjärnor. Om de inte är fullständiga idioter så lär de vara rysstroll. Flera underrättelsetjänster har ju konstaterat att ryssar kör just såna här påverkanskampanjer nu
49	2021-08-02	Intensivtklok	#5396	Hahaha, ja, eller hur? Nu måste jag fråga om du ens är läskunnig? Vaccination ger skydd mot Covid 19 och blir man inte sjuk så smittar man inte. Är det svårt att förstå, eller? Sen att en liten del vaccinerade blir sjuka i alla fall betyder inte att man inte har en ordentlig skyddseffekt av vaccinet. Tänk efter en enda gång innan du skriver svaret. Tack.
50	2021-11-08	Lukas17	#1590	Det spelar ingen roll om översättningen inte är korrekt ditt pucko eller om jag använder termen fel. Det är inte poängen. EUA är ett form av tillstånd för nödbruk. Ett tillstånd är ett form av godkännande. Ett godkännande för nödbruk i verbform skulle man absolut kunna kalla för: ''Nödgodkännande''. Låter kanske fel enligt många experter? Och? Uppenbart vad begreppet syftar på - ett godkännande för nödbruk som inte är samma sak som FULL FDA APPROVAL. Att länka till vad auktoriteter säger har ingen bäring. Det handlar om innebörden. Innebörden är skriven i ordet. Sedan att du har autism och har hakat upp dig på hur man ska översätta det korrekt skiter jag i. Termen har fullständigt legitimitet och det förstås vad man menar. EUA - Ett tillstånd för nödanvändning i USA URL URL Kalla det vad du vill, det är fortfarande helt korrekt att kalla säga att det är ett tillstånd för nödbruk eller ett nödgodkännande. Sedan förstår jag att experter inte vill säga så i Sverige för det är ju ändå ett form av godkännande och de vill inte att folk misstolkar begreppet. Men om du har en autistisk tolkning av begreppet så förstår jag att du rör till det.
51	2021-12-07	Lokatten66	#1038	Ofta ganska milda. Betoningen ska väl ligga på ofta. Vet inte om man vill riskera sina söners hälsa för att de ska vaccinera sig mot en sjukdom som de redan har haft. Det är som att skicka ut dem i ett kulregn och hoppas på det bästa.
52	2021-06-24	RostigHink	#5738	Nu har du redan kommit underfund om foliehatten men ändå, du vet inget om mig eller vad jag kan. Till skillnad från de flesta utgår jag inte från MSM, alternativmedia och foliehattar när jag skaffar information.
53	2021-09-05	1488hh	#313	För att nivån av vitamin-D tar tid att bygga upp.
54	2021-06-09	MrArtur	#2992	Grattis! Skulle inte ha valt något annat ens om jag fått välja fritt. URL
55	2021-12-15	Binary	#11971	Dödsfall pga Covid, är pga Covid. Varför tramsar du bort debatten? Det brukar folk göra när de har målat in sig i ett hörn.
56	2021-10-12	LadySweden	#12228	Det är inte vanligt alls, annars skulle man knappast ha rapporterat in det i den skala den har inkommit efter vaccinering. Man har ju då bevisligen märkt en störning och sådant känner kvinnor, eftersom mens är inte bara blod utan också allt som pågår i magen och däromkring. Att då arbetet ska sitta på Flashback och berätta för kvinnor hur mycket mensrubbningar de ändå har att det spelar ingen roll, är enbart löjligt. Det går fortfarande att ha ett ärligt sinne även om man valt att vaccinera sig. Det är vanligt med oregelbunden mens, men inte för de kvinnor som har regelbundna cykler. Som du säger så skulle knappast kvinnor vars mens är oregelbunden reagera och rapportera in det som en biverkan.
57	2021-06-10	smultronkungen2	#1984	 vår enda chans jaja, jag förstår. Domedagen är här om vi inte tar vaccin. Tänker man så blir det ju såklart svårt att vara lite objektiv i sin resonering, lycka till! Om vaccin är farligare än sjukdomen, som vi är överrens om kan vara fallet, så är det absolut inte vår enda chans . Om vaccin bidrar till fler och farligare mutationer är det absolut inte vår enda chans . Jag litar på att det är ett villkorligt godkänt vaccin, för en sjukdom som många experter tror kommer från ett labb, som vissa inte har det minsta problem att stoppa i sig. Gillar att du är så bakom flötet att du tror att en person som ifrågasätter om vaccin är bra och inte tar det själv litar på att det ger ett skydd.... Som sagt, svårt att tänka klart när alla andra vägar ledar till domedagen i ens huvud.
58	2021-06-07	Denarge	#125	tror Lars Bern vet ggr mer än du i detta ämne, det är han som pratar om det i SwebbTV. URL
59	2021-06-28	YeeNaaldloshii-	#898	Vid flera tillfällen så har jag förklarat att jag inte tänker ta sprutan. Vi som vägrar sprutan måste stå för vårt val. Det finns en anledning att just du inte tänker ta sprutan, att du väljer att inte göra precis likadant som alla andra. Tror du det är speciellt många utav de som frågar om du har vaccinerat dig, som har kollat upp vad sprutor faktiskt gör med deras kroppar? Ingen av oss vet vad effekter av denna genterapi faktiskt kommer att bli, så då måste det finnas iallafall några utav oss som står emot, och vågar säga det också. Vi vet egentligen inte ens vilka som gömmer sig bakom alla dessa beslut om lockdowns och vaccinering. Vi ser företrädare för WHO, FN, världens alla regeringar, deras korrupta nyllen känner vi till. Men handen som rör sig i skuggor ? Vem styr den? Det görs redan många försök att spela ut oss 'anti-vaxers' mot alla som tagit vaccinet. Det hela är väldigt väl planerat.
60	2021-03-21	AndersTengell	#1790	Det är unga människor som drabbas, speciellt kvinnor, och det går att koppla till vaccin då symptomen innan dom dör är väldigt specifika, en blandning av blödningar och proppar som är mycket svår att stoppa. Eftersom dom blöder så mycket, går det som jag förstått det inte att förebygga blodproppar med blodförtunnande då det gör blödningar värre. Det enda man kan göra är att försöka stoppa deras reaktion på vaccin och dom farliga antikroppar , genom immunosuppression.
61	2021-12-17	letsgobrandon	#294	[quote=chonard|78357870] Är ju svårt att bara se det så svartvitt. Blir man mindre sjuk är ju risken att man inte märker några symtom och beter sig som om man var frisk och därmed smittar många fler.
62	2021-08-06	FladderFarfar	#1740	Gissar att det tar tid att dra gränsen så att det blir rätt. Jag hoppas och tror att vi kommer att få dom svar vi söker, om än det kanske dröjer lite. Antal dödsfall av Covid? Antal dödsfall av vaccinet? Uppskattning av människor räddade av vaccinet? Worth it? Vi får vänta och se... personligen så har jag inga som helst tvivel.
63	2021-03-04	Spenatkungen	#1135	Ja, ca 50% av de som får Astra Zeneca vaccin får räkna med en ordentlig reaktion. Av pers som fick vaccin på vår avdelning igår var stycken hemma idag. Hög feber och annat smått och gott. Jag ska få min i morgon, så i helgen finns det risk för soffläge.
64	2021-12-20	ziggarillen	#727	Dåliga gener endast hos din släkting. Hen hade blivit sjuk med eller utan vaccinering.
65	2021-11-08	15minFame	#8599	Nej, inte i dina svar till mig. Men du hänvisar mig till sök? Gulligt.
66	2021-07-30	arbetet	#27170	Jag föreslår att du går och tar ditt vaccin. För din frus skull. Och häng inte här på Flashback bland alla foliehattar.
67	2021-07-30	ArganaS	#1146	NEJ det är jag inte ser du vad enkelt det var att svara.. jag ställde en enkel fråga! sedan att du tar till massa trams och glåp ord.. undra vem som är autistik horunge? Du har enkelt kunna svarat nej så var det klart , hoppas kvällen vart förstörd iaf
68	2021-01-06	Lost.Villain	#4380	Det finns minst som har fått ersättning för men av svinisvaccinet. Finland har sagt att staten kommer att ta hand om ev. Krav vid men. Det är väl inte läkemedelsbolagen som injicerar folk, utan vården? Om du handlar elektronik på Elgiganten som går sönder efter en vecka så dyker du väl inte upp på tillverkarens HK och kräver pengar. Du vänder dig till återförsäljaren.
69	2021-03-18	rawjudge	#1491	Otroligt fascinerande att man kan bli expert på bli antivaxx och sen vara bomb säker på allt ... baserat på alternativ media? Och random bloggar samt diffusa människor på Youtube som man inte ens kan särskilja vem dom är eller deras identitet/legit. Spännande. Nej de finns inget vaccin som ger 100% skydd mot smittspridning - men de är matematik allt baseras på, hade nuvarande vaccin varit så dåligt hade vi struntat i det. Men antivaxx folk har den djupaste sanningen att alla som jobbar på sjukvården och resten av världen har fel. Fantastiskt. Hur många läkemedel har vi prövat som vi skrotat? För dom inte fungerar eller ger för allvarlig biverkningar? De kontrolleras, allt gör. Även om vi kan hindra folk från att bli allvarligt sjuk har vi komma kommit lååångt! Sen nej vi kommer hitta lite svårare biverkning tyvärr, på eller mer ja tyvärr. Men läs gärna URL Covid 19 är inte helt safe heller. Dessa grupper är i alla åldrar.
70	2021-12-25	Jokri85	#9	Intressant tanke, det undrar jag med. Har tagit mina två doser men vet fler och fler (främst kvinnor) som fått problem med t.ex. handikappad (sitter i rullstol för kroppen orkar ej bära henne, öppen instagram om man vill kolla) finns även andra mer kända personer som berättar om att de när de får skov knappt kan stå upp sekund magen och ryggen bara viker sig. Betyder detta att det angriper muskler ? Vill gärna läsa samma som du! Bra tanke!
71	2021-07-12	thehawk88	#124	Det är så underhållande att läsa alla rapporter av Kortsiktiga biverkningar. Ska bli spännade att följa denna tråd om 1, eller år. Hörde från en vän i Colombia att hennes partner som är läkare har fullt upp med att bota de som blivit sjuka av vaccinera nu istället för de som är Covidsjuka.
72	2021-07-21	MittMalmoe	#3008	De största harar är väl de som rusar att vaccinera sig för ett virus som de allra flesta klarar galant
73	2021-03-22	AndersTengell	#1790	Jodu, det fenomenet börjar bli ganska vanligt nu och det finns troligtvis en förklaring.
74	2021-07-09	gefundenes	#1746	Ska bli intressant att se när de riktigt feta biverkning träder in av detta covidexperiment. Själv hoppas jag att mängder av vaccin En sak som jag har undrat om vaccin generellt är att praktiskt taget alla får vattkoppor. Varifrån kommer de och varför? Kan det vara nån biverkning från nåt vaccin man tar vid födseln eller tidigt som barn? Varför ska alla få vattkoppor och sen riskera bältros? Och vad händer om man överhuvudtaget inte vaccinerar en människa? Så patetiskt detta vaccintramset och problemet är att vaccin verkar vara helt helgonförklarade. Utan dem rasar det ner ett skyfall av sjukdomar över oss alla.... Löjligt. Troligtvis är vaccin ett sätt att skapa framtida kunder hos den alltmer jäsande läkemedelsindustrin. Pfizer värderat till över biljoner. Kom igen liksom.
75	2021-09-03	El-gigante	#272	Det finns ingen anledning på att lita på läkemedelsprodukter från företag som ertappats med att både mörda barn och förfalska vetenskapliga studier på en och samma gång.
76	2021-06-15	EliasAlucard	#17354	Rätt oroväckande ändå att nästan 44% på Flashback har tänkt vaccinera sig. Verkar som att inte ens flashbackare kan tänka utanför boxen.
77	2021-02-24	Opportunities	#1347	Lovar att pm:a varje månad resten av 20-talet åtminstone
78	2021-10-05	Ankan-mannen	#1373	Vilka är de som inte tar vaccin utifrån deras egna kunskaper? Hur många som dött med covid 19 i kroppen vet vi på ett ungefär. Hur många på ett ungefär har dött av vaccin i kroppen? Det borde de utbildade som larmar kunna tala om, bonus om de kan göra det för respektive vaccinsort.
79	2021-04-07	coronaless	#167	Nu kommer rapporter om allt fler som smittats igen trots att de är fullvaccinerade. smittade och döda i Michigan... URL
80	2021-10-25	Flashigqwe	#229	Ska de verkligen behövas mot en säker vaccin, där nyttan överväger ... .
81	2021-06-17	Kakksakker	#574	2-3 år. Kommer bli skumma grejjer i höst när alla influensor kommer.
82	2021-02-09	Incendio	#3347	Covid är en vanlig förkylning för nästan alla människor. Det är lätt att glömma bort att även vanliga småsjukor skördar en massa sköra liv varje år (det är bara det att ingen bryr sig)och att vi alltid har en överansträngd sjukvård. Det är alltid fullt eftersom att resurser saknas. Ta bara en sådan sak som att för år sedan så hade Sverige IVA-platser och då var vi flera miljoner färre. Samma gäller i äldrevården, som ju länge varit brutalt eftersatt. Nej, det är inte bara att acceptera att flygbolag kräver vaccinintyg, för det går helt emot alla principer om frihet och det går emot mänskliga rättigheter och grundlagar. Sedan handlar det som sagt inte bara om resor. Framhåller du på allvar Nordkorea som ett bra exempel? Ja,då förstår jag varför du tycker som du gör...
83	2021-12-16	12-12	#1212	Ja allt det här med Corona och Covid och vaccinering är då alltså i grunden en judisk komplott och konspiration? Det är fullt tillåtet för dig att vara av den uppfattningen, dock blir jag lite frågande inställd till vad som ska vara syftet med det hela. Jag vidhåller dock som svar på trådskaparens frågeställning här att det är bland annat den här typen av resonemang som kan göra ett en del människor uppfattar antivaccinare som en ganska besynnerlig gruppering. Ja fast återigen så är det ju ingen som heller förespråkar någon så kallad tvångsvaccinering. Det är frivillig vaccinering emot Corona och Covid som gäller och myndigheter och regeringar ägnar sig främst åt att ge incitament och uppmuntran till så många som möjligt att frivilligt vaccinera sig.
84	2021-06-10	Intensivtklok	#5615	Men seriöst, är du så dåligt insatt att du måste hävda gång efter gång att vaccin är dåligt bara för att inte alla blir skyddade? Ibland ger det inte fullt skydd. Likadant med alla vaccin. Dessutom, vilket är minst lika viktigt, alla KAN inte ta vaccin på grund av olika medicinska skäl och dessa är helt oskyddade och därför är det viktigt att samhället i sin helhet är så smittfritt det går.
85	2021-09-08	mvpy	#1301	Här gick så mycket fel att det är svårt att veta var man ska börjar. Men jag gör ett försök. 70,000 av 10.5 miljoner är ungefär 0.7%, inte 0.07%. Sannolikheten är alltså nästan gånger högre att drabbas av covid till en så allvarlig grad att man behöver slutenvård än att få en rapporterad allvarlig biverkning. Med samma beräkningssätt kan man också säga att det är mer sannolikt att dö med covid än att få en allvarlig biverkning. Sen så ska det tilläggas att alla allvarlig biverkningar är självrapporterade via läkemedelsmyndighetens hemsida. Det är alltså inte ett resultat som är bedömt av sjukvården, utan helt enkelt vad personen själv anser. Än så länge verkar 90% vara rent hittepå.
86	2021-09-12	kjellkritisk	#6704	Israel har haft 1,17 miljoner registrerade fall och Sverige 1,4 miljoner. Ja fast då måste du ju redovisa siffror på hur många vaccinerande som fått genombrottsinfektion och hur många som återinfekterats. Tro får du göra i kyrkan. En av de viktigaste faktorer är dessutom hur ser inläggningar och död ut efter vaccineringen!
87	2021-10-24	LittleMiniFox	#44	Tyck vad du vill. Har inte återgett någonting annat än min upplevelse och det är ej lögn. Här har du en jounalanteckning från mitt senaste neurologbesök. LÄNKTEXT
