id,date,author,post
15,2005-03-16,M2k,"Verkligheten visar att segregation är ett faktum , bara att inse att det är en fri bostadsmarknad , även om avundsjukan inom vänstern och andra flumgrupperingar , feminister och Pk-svassare , säkert gärne såge en annan utveckling . - Politikerna bosätter sig i välsituerade områden . - Normala svenskar , med undantag för suputer , missbrukare , fattighjon och annat bottenskrap , söker sig till områden utan blattar . - Invällarhorderna klumpar ihop sig i höghusghetton , dom trivs bäst med varandra , och vill givetvis ha det så . Dessutom finns det ekonomiska värden att ta hänsyn till . Villor t ex , belägna i välskötta , svenska områden , skulle med all sannolikhet falla avsevärt i marknadsvärde , om invällarfamiljer av outgrundlig anledning skulle komma på den dåliga idèn/ha råd att förvärva . Man ser framför sig hucklen och slöjor på promenad i omgivningarna , invällarglin med stöldbegär och rackartyg i blicken rantandes omkring , och invällarsläktingar komma dragandes till larmande gästabud , i tidigare harmoniskt trivsamma idyller . *jätterysning* All Things Come to an End <Apr 2002-2006>"
16,2005-03-16,M_A_R,"Det enklaste vore väl att sterilisera dem ? Om du nu inte har några ännu hårdare lösningar på lager , förstås .. Min ras är min religion . Min vita hud är min uniform . ' Man skall inte prata med fula människor . Då kan de få för sig att det är OK att se ut så. ' -Angelique Brulée ' When only Jews are present we admit that Satan is our god. ' ( Harold Rosenthal , former administrative aide to Sen . Jacob Javits . ) ' We Jews have spoiled the blood of all races . We have tarnished and broken their power . we have made everything foul , rotten , decomposed and decayed. ' ( The Way To Zion , Munzer )"
17,2005-03-16,M_A_R,"Segregation är bra för det motverkar rasblandning . Min ras är min religion . Min vita hud är min uniform . ' Man skall inte prata med fula människor . Då kan de få för sig att det är OK att se ut så. ' -Angelique Brulée ' When only Jews are present we admit that Satan is our god. ' ( Harold Rosenthal , former administrative aide to Sen . Jacob Javits . ) ' We Jews have spoiled the blood of all races . We have tarnished and broken their power . we have made everything foul , rotten , decomposed and decayed. ' ( The Way To Zion , Munzer )"
18,2005-03-16,M_A_R,"Vad fan gnäller du om ? Det finns väl ingen som hindrar dig från att rasblanda med dina färgade vänner ? Låt oss som inte vill det , slippa .. Helst utan att sådana som du kallar oss för idioter . Min ras är min religion . Min vita hud är min uniform . ' Man skall inte prata med fula människor . Då kan de få för sig att det är OK att se ut så. ' -Angelique Brulée ' When only Jews are present we admit that Satan is our god. ' ( Harold Rosenthal , former administrative aide to Sen . Jacob Javits . ) ' We Jews have spoiled the blood of all races . We have tarnished and broken their power . we have made everything foul , rotten , decomposed and decayed. ' ( The Way To Zion , Munzer )"
19,2005-03-16,Monika,"Assimilerade invandrare ses sällan som ett problem . De begår inte mer brott och lever inte på bidrag i högre utsträckning än svenskar . Så tycker man att det är ett problem att invandrare begår brott och inte kan försörja sig själva så bör man leta efter orsaken till att det är så . De problem vi har med invandrare i vårt land har vi på grund av segregationen . Så att vara emot invandrare men gilla segregationen är som att hata att få stryk men älska att boxas , eller något . Vill man LÖSA problemen så måste man titta på orsakerna bakom dem . Och där hittar vi segregationen ."
20,2005-03-16,Monika,"Hehe , det finns ju andra ghetton än invandrarghetton . 1970 fanns det inte så mycket invandrare men däremot fattiga svenskar , finnar och zigenare . Fyrbarnsfamiljer som bodde i en etta och så vidare . Klimatet var inte alls lika hårt då som nu , men det fanns likväl problemområden med utbredd fattigdom , drogmissbruk och alkoholism . Och kriminalitet ."
21,2005-03-16,Monika,"Ja , brotten mot svenskar skulle ju minska om segregationen var total . Men för att det skulle fungera skulle vi behöva bygga invandrarghetton i stil med andravärldskrigets judeghetton . Avspärrade kvarter/stadsdelar . Inom vilka invandrare kunde få begå brott mot varandra och inte mot oss . Nu tolkar jag inte ditt inlägg som att du skulle vilja att vi införde apartheid men jag leker med tanken : För att ett sådant system skulle fungera skulle vi behöva utveckla Sverige till en angivarstat i samma anda som länder under andra världskriget . Det skulle ju bli ännu krångligar i Sverige än i Sydafrika eftersom saken här inte är -he- svart eller vit . Vi har ju utlandsadopterade svenskar samt folk som bott i landet i generationer och är svenska men med ett osvenskt utseende . För att ingen skulle kunna slippa undan skulle angivar- och kontrollsystemet vara väl utvecklat . Invandringen skulle nog minska radikalt och på sikt skulle de invandrare vi spärrat in dö ut . Men då skulle nog tryggheten i Sverige fått sig en ordentlig törn för generationer framöver . Och så skulle vi få lida av de handelsblockader som skulle sättas upp , precis som de gjorde mot Sydafrika ."
22,2005-03-16,NHB,Om man vänder på det så skulle man kunna se det som att brott mot svenskar beror på att vi inte är tillräckligt segregerade . Jag menar att om invandrare var isolerade från oss svenskar så hade det omöjliggjort för dessa att kunna begå brott mot oss . Visst det kanske är lite extremt med apartheidpolitik men många brott hade kunnat förhindras .
23,2005-03-16,TomBombadill,"Jag har fetat de stycken som jag vill kommentera . 1 , En förolämpning . Du bryter härmed mot Flashbacks regler . Regler är inte till för att brytas utan de är till för att följas . Har du några problem med dessa enkla och förnuftiga regler så föreslår jag att du lämnar detta forumet . Eftersom jag klarar av att hålla en god ton och vara objektiv ( såvida jag inte svarar med samma mynt ) så borde väl du kunna göra detsamma ? 2 , Vi uppträder inte respektlöst mot någon del av befolkningen . Vi diskuterar ett fenomen som t.ex . mångkultur , invandring , segregation , integration osv . Om man ska undvika en debatt enbart för att vissa människor kan bli stötta så mördar man ju hela poängen med en diskussion . 3 , När man diskuterar om stora fenomen , oavsett vilket fenomen det kan gälla , ska man ALDRIG gå in på individnivå . Det är rätt grundläggande . Visst , vill du diskutera hur individer är så kan du ju hänga i Skvallerforumet , men här diskuteras större fenomen . Klarar inte du av att se vidden av fenomenet så har du återigen ingenting att tillföra diskussionen och därmed bör du hålla dig till andra forum . 4 , Bara jag och M A R ? Varför ens ta upp M A R i samma sammanhang som mig ? Hade du ens varit delvis insatt i vad jag och M A R tycker så skulle du snabbt inse att vi har väldigt olika åsikter . 5 , Jag har aldrig kallat ett helt folkslag för någonting . Hade jag det hade jag antagligen fått en varning för HMF . Jag brukar ofta poängtera att det alltid finns undantag , eller att det endast är en minoritet som kan belastas för någonting . Eftersom du är en sån anhängare av individen borde du väl åtminstone satt dig in i vad jag faktiskt har skrivit på forumet innan du drar sådana förutfattade meningar om mig . 6 , Jag har aldrig kallat en annan ras/folkgrupp för mindre värd . Jag anser inte att ett generellt värde kan tillämpas på större grupper av människor . Dom enda människorna som har ett värde för mig är dom jag känner . Skulle fem människor dö i Kiruna skulle jag bry mig lika lite som om fem människor skulle dö i Lomé . Vi har definitivt olika åsikter vad gäller det mesta - men det innebär inte att varken du eller jag har fel ."
24,2005-03-16,TomBombadill,"Nationaldemokraterna , Nd , fick typ 10 000 röster i senaste valet . Ledande framträdare för nationalister ? Skämtar du eller spelar du dum medvetet ? Visst , hade det varit nån ur Sd hade jag väl kunnat i viss mån hålla med dig .. Men vafan . Kom igen . Ungefär som att säga att Kpmlr är ledande framträdare för socialister typ . Nationaldemokraterna är bara ett gäng korkade idioter . End ? No , the journey doesn't end here . Death is just another path , one that we all must take . The grey rain curtain of this world rolls back and all turns to silvered glass . And then you see it : White shores and beyond , a far green country under a swift sunrise ."
25,2005-03-16,zatzy,"Det politiskt korrekta är väl att segregering är dåligt , förstås . Men man kan ju ställa den här frågan : varför hade sverige inga invandrargetton 1970 ? Var den sociala ingenjörskonsten bättre då ? Välfärdsamhället starkare ? Nej , det berodde på att sverige vid den tiden knappast hade några invandrare . Den handfull italienare och jugoslaver som fanns då skulle knappast ens fyllt upp 30% av rosengård . Sverige 2005 : 600 , 000 innevånare födda utomlands , nära 1 , 5 miljoner med den ena eller bägge föräldrarna födda utomlands . Ja , idag har vi många sk getton , i stort sett varje större > 50 , 000 innevånare har ett invandrargetto . Det finns inte så mycket Mona eller Göran kan göra åt den saken . Inga invandrare = inga getton , mycket invandrare= många och stora getton . Vart skall man placera invandrarna ? Villaområden , bostadsrättsområden , radhusområden ? Nej , här i stockholm kostar dessa bostäder ca 2 miljoner , invandrare har av förståeliga skäl inte de ekonomiska resurserna då de ofta lever på bidrag . Stockholms innerstad ? Nej , de lägenheterna ha den politiska och ekonomiska överklassen tagit beslag på . Det finns helt enkelt inga lediga lägenheter där . Detsamma gäller även attraktiva närförorter , bromma , enskede , lidingö , täby etc . Vilka områden är då kvar ? Ja , till exempel allmännyttan ute i betongförorterna . Bra , då placerar vi invandrarna där ! Inte för att jävlas förstås , utan för att de är det ända ställe där det finns lediga lägenheter .... och det är därför vi har segregering i stockholm ."
26,2005-03-17,Icke-socialist,"Var en invandrarsnubbe på SVT nyss . Han hade nån tidning ( Gringo? ) . Han sa att för dom är invandrare så kan dom skriva sånt som andra inte kan skriva . T ex hade dom skrivit en massa om blatterasism . Rasism mot svenskar och blattar emellan . Bra det . Han sa också att segregation inte är något dåligt , d v s att folk bor för sig är inte dåligt sålänge arbetslösheten är låg så att de flesta från olika områden träffas på jobben . Att bo för sig såg han inte som något negativt . Så hade väl aldrig en svensk journalist sagt . Alltså kanske vi ska uppmuntra invandrare att bli journalister i större mån för de är de enda som kan säga sanningen i invandrarfrågor utan att få rasiststämplen ? Den svenska intervjuaren sa att han får inte säga blatte men det får invandraren och då sa invandraren att han hoppades att detta skulle försvinna inom några år , alltså att alla får säga det . Dom som säger sig vara toleranta är ofta väldigt intoleranta mot dom intoleranta ."
27,2008-03-21,402an,jag är inflyttad skåning och bor i kortedala . fick höra massa skit om det och vågade knappt tacka ja till lägenheten . men vi trivs kanon . det ligger granne med bergsjön men jag märker inte av några skummisar
28,2008-03-21,Baronessan,"Det är nog tyvärr så illa att om ni ska ha hyresrätt så går det inte direkt att välja och vraka . Jag håller med föregående talare att ni ska ta det ni får ( om ni har bråttom med flytt ) och sen försöka byta till annat när ni flyttat hit . Hjällbo , Hammarkullen , Bergsjön , Angered , Gårdsten , Kortedala , Rannebergen , Biskopsgården , Länsmansgården är väl de områden som alla brukar ' varna ' för , men jag har bott på ett av ställena ( iofs i BR ) och känner andra som bott på övriga och det är inte ( alltid ) så illa som folk ger sken av ."
29,2008-03-21,blommanigbg,Sök lägenhet först . Byt om ni inte trivs .. Är svårt att få hyreslägenhet i Göteborg ..
30,2008-03-21,DOLCE,"Precis håller med dig . Man måste nästan kolla upp områdena för att få sig en uppfattning , och göra som TS fråga folk som bor där om deras uppfattning ."
31,2008-03-21,Uncovered,Jag bor just nu i norra kortedala ( på gränsen till bergsjön ) och har aldrig haft några som helst problem här fast jag blev varnad . Bodde tidigare på hisingen och hade inga problem där heller ( : Folk är lite för snabba med att dömma ut områden tycker jag .. Konstigt att det blir segregation !
32,2008-04-01,Puffen,"Askim kanske ? Mamma till son-02 , son-07 och snart två -08:or"
33,2008-04-02,Mullet,"Jag bor i ' hemska ' Biskopsgården . Jag hade som alla andra hört om hur farligt och dåligt det var här , men kunde inte tacka nej . Har inte ångrat mig en sekund . Fin natur och 3 spårvagnar in till stan som tar 15 min . Tror att de flesta ställen är ok att bo på . Men som sagt det är svårt att välja och vraka med tanken på bostadsbristen i Gbg ."
34,2008-04-02,Puffen,"Från Askim går flera direkt bussar till stan , bla . blå express . Man kan även åka till frölunda och ta vagnen där ifrån . Mamma till son-02 , son-07 och snart två -08:or"
35,2008-04-03,jensericsson,"Förlåt , nu blev det lite fel . Svårt med ironi och nyanser i trådar . Vill absolut inte hoppa på dina grannar . mkay ? Till TS-om du flyttar till gbg och askim , så försök hamna intill Puffen , för då slipper du de där sura kärringarna jag varnat för ! ; )"
36,2008-04-03,Jockelina,"Jag skulle aldrig vilja bo i vare sig Biskopgården , Hammarkullen eller Backa . Efter att ja jobbat i stan i några månader i blå kläder så vet jag vad jag pratar om !!!"
37,2008-04-03,Puffen,"Oj vilken okunskap !! Det är som att säga att alla invandrare är kriminella ... Det stämmer ju inte ! Jag bor i Askim , har ett pensioner par som närmsta grannar och dom är genomsnälla och hur gulliga som helst ! Sen bor det mest barnfamiljer här , några ensamstående med barn också . Dom sura kärringarna ... jag vet inte riktigt vad du menar med det ... Här finns dom inte allafall . Tror inte heller atta sura kärringar är samlade på ett ställe , men det kanske du tror ???"
38,2008-04-03,SystemRestore,Gatusoparna vid oss har blå kläder ... och sophämtarna .
39,2008-04-04,Jockelina,Svar på #29 Vad har poliserna för kläder där du bor då ?
40,2009-02-23,Aake,"Även Blattarna vill ju bo segregerat bland de sina utan störande svenneinslag . Det enda de vill ha av dig är dina pengar , din mobil , din jacka och dina skor . Vem fan är den där Edit alla skriver små meddelanden till i inläggen ? Hälften av alla som drunknar har alkohol i blodet - Alla som drunknar har vatten i lungorna . Du skall inte sitta på muggen om du inte förmår att skita http://exilen.forumotion.eu/ - Debattforum under uppbyggnad och där censureras inte matbilderna"
41,2009-02-23,ayanamii,"Om du tycker segregration i bra ser jag inte det fördelaktiga med planekonomiska hyror . De mest segregerade områdena ( som i % vita/rika ) är ju de med störst marknadsfrihet , som skärgårdar och villaomården ."
42,2009-02-23,Cadenza,"Segregation är kanske inte ' positivt ' i sig , dock är det något helt naturligt , det ligger i människans natur att dras till de man är lika . Det uppstår spontant om folk själva får välja . Att försöka experimentera och rucka på denna ' naturlag ' är som att försöka trotsa tyngdlagen - det går bara åt helvete .."
43,2009-02-23,Gammal_Hårdrockare,"Jag har gjort min tid ute i slödderområdena . Jag har blivit hotad , fått stå ut med oväsen dygnet runt , haft inbrott i förråd , blivit spottad på och kallad för dum arbetande jävla svenne ( där fick man för att man arbetar ihop till deras socialbidrag ) samt försvarat min dotter mot påhopp från araber som har kallat henne ' oren ' för att hennes mor är svart . Så NEJ ! Jag kommer inte frivilligt att vilja ha marknadshyror nu när jag äntligen har kommit ifrån skiten . Varför skulle jag vilja det ? Ge mig en enda bra anledning till att jag skulle vilja betala mycket högre hyra ? Packet sorteras ju redan bort eftersom jag har valt att bo hos en privat hyresvärd som inte hyr ut till människor med skulder , utan arbete och med ett tvivelaktigt förhållande till svensk kultur och rättsväsende . Framför allt : Varför skulle jag vilja ha dessa människor som grannar igen ? Varför skulle jag anse att segregation är av ondo ? Nej , jag ser inget positivt med kriminalitet , patriarkala gap- och skrikkulturer och äktsvenska missbrukare . Jag och flera med mig vill inte ha dem i min närhet ! Varför är det ingen som vågar erkänna detta ? Nu för tiden är jag mycket noga med att välja bostad . Jag vill inte riskera att behöva dela trappuppgång med någon Muhammed , Hassan eller Mange och Lenita . Så är det bara . Jag vill ha lugn och ro ! Jag vill känna trygghet i mitt boende och ha grannar som jag kan lita på och som jag vet inte går till anfall eller bryter mitt förråd eller föraktar mig pga mitt svenska ursprung och för att jag faktiskt arbetar och betalar skatt . Om vissa anser att jag är rasist bara för att jag inte vill bo tillsammans med araber , somalier och äktsvenska dagdrivare och missbrukare , ja då får jag ta den smällen . Jag är för fan över fyrtio år . Såpass säker har jag i alla fall blivit i mig själv så att jag vet vad jag är och vart jag står någonstans . Någon rasist är jag inte bara för att jag vill känna trygghet ."
44,2009-02-23,Gammal_Hårdrockare,"Nej . Min privata hyresvärd skulle aldrig någonsin få för sig att skriva avtal med socialen eller hyra ut till arabiska storsläkter . Dessa sållas bort automatiskt . Det är den kommunala allmännyttan som är farlig att bo hos , då kan man råka ut för sådant här . Dem ska man alltså undvika ."
45,2009-02-23,Gammal_Hårdrockare,Vilsen : Ja för fan ! Är det inte så för alla innerst inne ?
46,2009-02-23,Hårboll,Det mest underhållande på temat ' segregation ' är ju att de som säger sig vara mot den själva bor rasrent i avskärmade villaområden
47,2009-02-23,skinner5000,Nuder bor väll i Saltsjö-boo och Mona i moderatnästet Nacka .
48,2009-02-23,Vilsen,"GHs största argument är ren egoism , vilket man iofs kan ha förståelse för . GH är rädd att konkurrensen inte kommer att fungera på hyresmarknaden , och att det kommer bli en lång och smärtsam process att ställa om . Stora fastighetsägare kommer höja hyror till bristningsgränsen , och folk kommer bli tvungna att acceptera det i brist på alternativ . Först när det börjar byggas i stor utsträckning för att kompensera så kommer det att bli balans , och det är inget som sker i en handvändning . Slutmålet kommer förmodligen bli en starkt segregerad hyresmarknad , med större variationer i standard och mycket större variationer i hyror . Det kommer innebära höjda hyror och oförändrad standard för den stora massan , lägre hyror och lägre standard för ghetton . och vinsten blir förstås : kortare köer , ingen mindre svarthandel , fler lägenheter , mer inkomstsegregerat ( varvid etnisk segregation följer naturligt ) Ge mig din själ"
49,2009-02-23,Vilsen,Tänker man så om man bor i hyresrätt ? Ge mig din själ
50,2009-02-24,Andoloria,"Har bott ungefär som TS , men på 6 mån har 10-15 ziggisar flyttat in i lägenheten under ( ja de är så många , ålder 20-65 ) . Hela nätterna är de borta med sina risiga bussar och rostiga kombis , de bär in möbler och kartonger 3-4 ggr per natt . Sen har jag också fått araber och marockaner detta hände under loppet av 6 månader därför några svenska pensionärer dog/flyttade till hemmet . Tråkigt men nu är mångkulturen mitt i min trappugång oxå . Man börjar förstå lite hur jävla mycket utlänningar det finns i Sverige ! Rasism kommer snart va lika vanligt som pkism , igen . Ta fasta på det . Upprusta Försvarsmakten"
51,2009-02-24,Cineasten,"Drägglet ? Såna alkisar som du så målande har skrivit om i dina ' självbiografiska berättelser ' ? Spela inte Allan du , jävla clown du är Cineasten . Som sagt , det är sån jag är . Går runt med för stora skor , långrandiga byxor med hängslen , har röd krullig peruk och en stor röd näsa i plast som man kan klämma på så att det låter skojigt . Du kan inte förstå . Det är som att försöka förklara Einsteins relativitetsteori för en fiskmås . Det är helt poänglöst . Någon KANSKE överfaller dig med en motorsåg och gör Chili Con Carne av dig innan du hinner säga ' hoppsan ! '"
52,2009-02-24,Cineasten,"Ledordet är HÄNSYN men folk kan inte stava till det längre . Självklart kan studenter och pensionärer bo i samma hus precis som människor har gjort i generationer men då krävs det att alla visar varandra hänsyn , alternativt att husen byggs med rejäl ljudisolering .. Det går definitivt att samsas om man vill . Vill man inte så går det inte men för normalt funtade människor går det att komma fram till en praktisk lösning för alla . Det gäller bara att alla lär sig använda det där de förhoppningsvis har mellan öronen . Jag tröttnar på mina yngre grannar därför att de inte visar hänsyn . Huset är mycket dåligt ljudisolerat och de punchiga ungarna ( tonåringar som börjar närma sig de 20 ) går aldrig i trapporna - de springer i full fart som småbarn . Kommer de hem sent pratar de högt och ljudligt i trappuppgången trots att de rimligen borde veta med sig att de borde hålla käften stängd eller åtminstone prata lite tystare när timmen är sen . Andra dumpar en massa skit i trappuppgången och allt bottnar i att de inte fått lära sig innebörden av orden respekt och hänsyn . Jag har inga problem att dela portuppgång med olika typer av människor så länge de beter sig schysst . Sen struntar jag i om de är svennar eller blattar . det finns bra och dåliga sorter inom alla grupper . Hellre dela port med en invandrarfamilj som beter sig som folk än att dela den med en senildement och/eller psykiskt sjuk person som missköter hygienen ( är inkontinent och vägrar byta kläder t.e.x . Inte helt ovanligt ) och renhållningen hemma så att det blir en sanitär olägenhet . Spela inte Allan du , jävla clown du är Cineasten . Som sagt , det är sån jag är . Går runt med för stora skor , långrandiga byxor med hängslen , har röd krullig peruk och en stor röd näsa i plast som man kan klämma på så att det låter skojigt . Du kan inte förstå . Det är som att försöka förklara Einsteins relativitetsteori för en fiskmås . Det är helt poänglöst . Någon KANSKE överfaller dig med en motorsåg och gör Chili Con Carne av dig innan du hinner säga ' hoppsan ! '"
53,2009-02-24,TheRealFace,"För mig som individ är segregation bra på en del sätt , t.ex . att slippa primitiva människor , missbrukare m.m. Men för samhället i stort är segregation dåligt , för då bryts inte nysvenskarnas dåliga kultur ner . Araber Somalier , behöver umgås med Svenskar för att få en dos civilisation i sig . Titta på Rosengård hela området har blivit en sekt !"
54,2009-02-25,c-Helzing,"Ojdå ! Akta sig , så att inte Ohly eller Mona Muslim hör detta ."
55,2009-02-27,Gammal_Hårdrockare,"Det har de redan gjort men det fixade mitt hyresbolag lätt , dvs de hyr inte ut till folk som lever på socialbidrag eller är arbetslösa . Vilka är det som oftast lever på socialbidrag tror du ? Hittills är det inte förbjudet eller diskriminerande att inte hyra ut till människor som saknar inkomst ."
56,2009-02-27,Mange*,"Vad är det för fel med att dela samma trappuppgång med någon som heter Mange ? Håller för övrigt med om att segregation inte behöver vara något dåligt , framför allt inte som det ser ut nu . Min förhoppning är ändå att vi ska slippa enklaver i Sverige som man inte vågar bo i/besöka i framtiden . Den förhoppningen är dock nog ganska naiv ..."
57,2009-02-27,Nedomansky,Det är bara en tidsfråga innan det blir förbjudet ... Våra invandrare måste ju integreras .
